Station,Example Station
Latitude,-35.31
Longitude,148.06
1980-06-01,105.2
1980-07-01,82.8
1980-08-01,68.8
1980-09-01,55
1980-10-01,70
1980-11-01,25.8
1980-12-01,125.7
1981-01-01,20.4
1981-02-01,91.6
1981-03-01,2.6
1981-04-01,27.8
1981-05-01,91.3
1981-06-01,187.9
1981-07-01,197.1
1981-08-01,142.4
1981-09-01,50.5
1981-10-01,39.6
1981-11-01,37.9
1981-12-01,21
1982-01-01,32
1982-02-01,3.2
1982-03-01,114.2
1982-04-01,38.2
1982-05-01,20
1982-06-01,33
1982-07-01,5.8
1982-08-01,12
1982-09-01,78.6
1982-10-01,16.2
1982-11-01,0.8
1982-12-01,20.2
1983-01-01,2
1983-02-01,55.8
1983-03-01,43.8
1983-04-01,116.6
1983-05-01,155.8
1983-06-01,69.6
1983-07-01,124.2
1983-08-01,138.2
1983-09-01,81.5
1983-10-01,95.8
1983-11-01,122.4
1983-12-01,65.2
1984-01-01,371
1984-02-01,30.6
1984-03-01,35
1984-04-01,79.8
1984-05-01,19.4
1984-06-01,4.2
1984-07-01,195.9
1984-08-01,137.1
1984-09-01,78.2
1984-10-01,101.4
1984-11-01,24.4
1984-12-01,45.6
1985-01-01,6.2
1985-02-01,10.4
1985-03-01,75.8
1985-04-01,34.1
1985-05-01,82
1985-06-01,47
1985-07-01,75
1985-08-01,183
1985-09-01,45.4
1985-10-01,105.6
1985-11-01,67.6
1985-12-01,76.8
1986-01-01,76.4
1986-02-01,5.2
1986-03-01,3.4
1986-04-01,73
1986-05-01,76.6
1986-06-01,37.2
1986-07-01,217.8
1986-08-01,75.2
1986-09-01,83.8
1986-10-01,134.4
1986-11-01,116.8
1986-12-01,37.4
1987-01-01,33.8
1987-02-01,166
1987-03-01,36.2
1987-04-01,30.9
1987-05-01,80
1987-06-01,133.6
1987-07-01,75.8
1987-08-01,52.8
1987-09-01,57.4
1987-10-01,43.8
1987-11-01,63.8
1987-12-01,42.4
1988-01-01,15.4
1988-02-01,10
1988-03-01,18.6
1988-04-01,34
1988-05-01,177.4
1988-06-01,68
1988-07-01,108.6
1988-08-01,42
1988-09-01,83
1988-10-01,29.6
1988-11-01,65.8
1988-12-01,253.8
1989-01-01,17.6
1989-02-01,7.8
1989-03-01,181.8
1989-04-01,151.2
1989-05-01,110
1989-06-01,77
1989-07-01,65.6
1989-08-01,111.4
1989-09-01,37.2
1989-10-01,87.6
1989-11-01,59.3
1989-12-01,56.4
1990-01-01,58.6
1990-02-01,76.6
1990-03-01,11.6
1990-04-01,171.8
1990-05-01,94.4
1990-06-01,62
1990-07-01,140.8
1990-08-01,121.4
1990-09-01,84
1990-10-01,78.2
1990-11-01,10.8
1990-12-01,22.4
1991-01-01,68.8
1991-02-01,19.8
1991-03-01,39
1991-04-01,8.2
1991-05-01,20
1991-06-01,117.4
1991-07-01,111.6
1991-08-01,102
1991-09-01,103.4
1991-10-01,12
1991-11-01,24
1991-12-01,78.8
1992-01-01,122
1992-02-01,51.2
1992-03-01,31.6
1992-04-01,48.6
1992-05-01,36
1992-06-01,59.4
1992-07-01,56.6
1992-08-01,152.8
1992-09-01,119.6
1992-10-01,119.8
1992-11-01,89.6
1992-12-01,142.8
1993-01-01,31
1993-02-01,17
1993-03-01,90.8
1993-04-01,21.6
1993-05-01,37
1993-06-01,47.7
1993-07-01,160.8
1993-08-01,38
1993-09-01,110
1993-10-01,129
1993-11-01,113.8
1993-12-01,94.2
1994-01-01,16.2
1994-02-01,89.2
1994-03-01,56.8
1994-04-01,23.8
1994-05-01,27.4
1994-06-01,76.8
1994-07-01,43.4
1994-08-01,24.6
1994-09-01,26.5
1994-10-01,58.4
1994-11-01,82.4
1994-12-01,57.8
1995-01-01,157.2
1995-02-01,39.2
1995-03-01,0.4
1995-04-01,44.4
1995-05-01,179.2
1995-06-01,93
1995-07-01,181.8
1995-08-01,25.4
1995-09-01,50
1995-10-01,79.7
1995-11-01,102
1995-12-01,74.2
1996-01-01,105.2
1996-02-01,55.2
1996-03-01,39.4
1996-04-01,28.4
1996-05-01,63.2
1996-06-01,115
1996-07-01,114.7
1996-08-01,85.8
1996-09-01,95.8
1996-10-01,83.2
1996-11-01,73.4
1996-12-01,70
1997-01-01,43.9
1997-02-01,5.5
1997-03-01,42.2
1997-04-01,0
1997-05-01,88.1
1997-06-01,53.2
1997-07-01,38
1997-08-01,80.1
1997-09-01,108.4
1997-10-01,13.4
1997-11-01,37.6
1997-12-01,50
1998-01-01,36.6
1998-02-01,20.4
1998-03-01,1.6
1998-04-01,97.8
1998-05-01,14.3
1998-06-01,126.4
1998-07-01,107.8
1998-08-01,96.4
1998-09-01,113
1998-10-01,70
1998-11-01,81.4
1998-12-01,35.6
1999-01-01,54.2
1999-02-01,21.6
1999-03-01,90
1999-04-01,43.6
1999-05-01,68
1999-06-01,69
1999-07-01,46.2
1999-08-01,112.1
1999-09-01,81.8
1999-10-01,115
1999-11-01,71.4
1999-12-01,166.8
2000-01-01,83.6
2000-02-01,20.4
2000-03-01,70.6
2000-04-01,56
2000-05-01,124.6
2000-06-01,null
2000-07-01,63.6
2000-08-01,129
2000-09-01,98.4
2000-10-01,132.2
2000-11-01,63
2000-12-01,31.4
2001-01-01,38.8
2001-02-01,87.2
2001-03-01,81.2
2001-04-01,45.8
2001-05-01,11.8
2001-06-01,91.2
2001-07-01,42.6
2001-08-01,107.2
2001-09-01,55.2
2001-10-01,null
2001-11-01,35.6
2001-12-01,10
2002-01-01,12.8
2002-02-01,131
2002-03-01,24
2002-04-01,23.8
2002-05-01,60.4
2002-06-01,84.2
2002-07-01,48
2002-08-01,37.5
2002-09-01,null
2002-10-01,7.2
2002-11-01,15.2
2002-12-01,27
2003-01-01,16
2003-02-01,67.8
2003-03-01,16.6
2003-04-01,21.4
2003-05-01,22
2003-06-01,96.4
2003-07-01,80.4
2003-08-01,131.6
2003-09-01,68.9
2003-10-01,66.8
2003-11-01,61.8
2003-12-01,78.8
2004-01-01,50.4
2004-02-01,8.8
2004-03-01,0
2004-04-01,5.6
2004-05-01,62.8
2004-06-01,137
2004-07-01,null
2004-08-01,90.8
2004-09-01,97
2004-10-01,57.4
2004-11-01,null
2004-12-01,61.8
2005-01-01,27.2
2005-02-01,92.6
2005-03-01,29.4
2005-04-01,null
2005-05-01,1.8
2005-06-01,128.2
2005-07-01,109.2
2005-08-01,104.6
2005-09-01,128.6
2005-10-01,67.6
2005-11-01,null
2005-12-01,36
2006-01-01,75.4
2006-02-01,2.2
2006-03-01,12.6
2006-04-01,31.6
2006-05-01,7.4
2006-06-01,42.6
2006-07-01,65
2006-08-01,16.6
2006-09-01,18.6
2006-10-01,9.2
2006-11-01,36.2
2006-12-01,10.4
2007-01-01,43.4
2007-02-01,22.4
2007-03-01,56.6
2007-04-01,84.8
2007-05-01,79.8
2007-06-01,43.2
2007-07-01,67.6
2007-08-01,20.4
2007-09-01,null
2007-10-01,30.8
2007-11-01,114.2
2007-12-01,null
2008-01-01,47
2008-02-01,122.4
2008-03-01,72.6
2008-04-01,28.2
2008-05-01,26
2008-06-01,41.2
2008-07-01,97.4
2008-08-01,50.6
2008-09-01,38.8
2008-10-01,27.2
2008-11-01,119.4
2008-12-01,67.4
2009-01-01,24.8
2009-02-01,1.4
2009-03-01,17
2009-04-01,88
2009-05-01,14.8
2009-06-01,62.4
2009-07-01,91
2009-08-01,null
2009-09-01,null
2009-10-01,50.9
2009-11-01,46.2
2009-12-01,48.2
2010-01-01,8.8
2010-02-01,128.8
2010-03-01,93.4
2010-04-01,null
2010-05-01,59.8
2010-06-01,53.4
2010-07-01,97.2
2010-08-01,170.6
2010-09-01,128
2010-10-01,241.4
2010-11-01,156.8
2010-12-01,93.8
2011-01-01,42.4
2011-02-01,196
2011-03-01,76.4
2011-04-01,28
2011-05-01,42.6
2011-06-01,32.4
2011-07-01,79.4
2011-08-01,83.4
2011-09-01,48.6
2011-10-01,20.4
2011-11-01,184.1
2011-12-01,null
2012-01-01,23
2012-02-01,103
2012-03-01,232
2012-04-01,13
2012-05-01,39
2012-06-01,47
2012-07-01,44
2012-08-01,62
2012-09-01,22
2012-10-01,31
2012-11-01,95
2012-12-01,49
2013-01-01,22
2013-02-01,53
2013-03-01,49
2013-04-01,14
2013-05-01,81
2013-06-01,78
2013-07-01,95
2013-08-01,73
2013-09-01,67
2013-10-01,20
2013-11-01,24
2013-12-01,32
2014-01-01,23
2014-02-01,56
2014-03-01,86
2014-04-01,69
2014-05-01,65
2014-06-01,102
2014-07-01,67
2014-08-01,16
2014-09-01,39
2014-10-01,45
2014-11-01,81
2014-12-01,76
2015-01-01,91
2015-02-01,24
2015-03-01,0.8
2015-04-01,107.3
2015-05-01,48.8
2015-06-01,101.2
2015-07-01,97.7
2015-08-01,98.9
2015-09-01,17
2015-10-01,40.2
2015-11-01,114.5
2015-12-01,55.8
2016-01-01,80.7
2016-02-01,56.4
2016-03-01,59.1
2016-04-01,5.8
2016-05-01,136.8
2016-06-01,150.7
2016-07-01,130.4
2016-08-01,85.7
2016-09-01,206.6
2016-10-01,97.5
2016-11-01,44.2
2016-12-01,79.7
2017-01-01,
2017-02-01,
2017-03-01,
2017-04-01,
2017-05-01,
2017-06-01,
2017-07-01,
2017-08-01,
2017-09-01,
2017-10-01,
2017-11-01,
2017-12-01,
2018-01-01,
2018-02-01,
2018-03-01,
2018-04-01,
2018-05-01,
2018-06-01,
2018-07-01,
2018-08-01,
2018-09-01,
2018-10-01,
2018-11-01,
2018-12-01,
2019-01-01,
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,
2019-08-01,
2019-09-01,
2019-10-01,
2019-11-01,
2019-12-01,
2020-01-01,
2020-02-01,
2020-03-01,
2020-04-01,
2020-05-01,
2020-06-01,
2020-07-01,
2020-08-01,
2020-09-01,
2020-10-01,
2020-11-01,
2020-12-01,
2021-01-01,
2021-02-01,
2021-03-01,
2021-04-01,
2021-05-01,
2021-06-01,
2021-07-01,
2021-08-01,
2021-09-01,
2021-10-01,
2021-11-01,
2021-12-01,
