Station,Example Station
Latitude,-35.31
Longitude,148.06
1898-04-01,15.8
1898-05-01,43
1898-06-01,100.7
1898-07-01,75.3
1898-08-01,62.9
1898-09-01,60.2
1898-10-01,81.8
1898-11-01,31.2
1898-12-01,18.2
1899-01-01,56.5
1899-02-01,31.5
1899-03-01,22
1899-04-01,75.9
1899-05-01,35.4
1899-06-01,112.5
1899-07-01,49.4
1899-08-01,85.1
1899-09-01,24.7
1899-10-01,70.3
1899-11-01,100.5
1899-12-01,27.2
1900-01-01,49.7
1900-02-01,6.3
1900-03-01,235
1900-04-01,98.7
1900-05-01,95.4
1900-06-01,124.1
1900-07-01,105.7
1900-08-01,96.4
1900-09-01,76.5
1900-10-01,6.9
1900-11-01,46.2
1900-12-01,29.3
1901-01-01,21.9
1901-02-01,2
1901-03-01,48.9
1901-04-01,47.2
1901-05-01,31.9
1901-06-01,84.4
1901-07-01,36
1901-08-01,82
1901-09-01,52.4
1901-10-01,108.5
1901-11-01,24.9
1901-12-01,4.8
1902-01-01,19.2
1902-02-01,4.4
1902-03-01,61.2
1902-04-01,0
1902-05-01,2.3
1902-06-01,66.2
1902-07-01,29.4
1902-08-01,13
1902-09-01,43.3
1902-10-01,44.4
1902-11-01,9.1
1902-12-01,123.7
1903-01-01,12.7
1903-02-01,6.8
1903-03-01,76.5
1903-04-01,138.2
1903-05-01,66.8
1903-06-01,91
1903-07-01,108.9
1903-08-01,24.6
1903-09-01,116.5
1903-10-01,68.3
1903-11-01,25.6
1903-12-01,30.6
1904-01-01,85.9
1904-02-01,16.8
1904-03-01,13.7
1904-04-01,24.1
1904-05-01,64.4
1904-06-01,68.8
1904-07-01,109.4
1904-08-01,68.7
1904-09-01,22.3
1904-10-01,108.7
1904-11-01,49
1904-12-01,40.4
1905-01-01,46.3
1905-02-01,18.8
1905-03-01,13.8
1905-04-01,58.5
1905-05-01,74.7
1905-06-01,166.6
1905-07-01,138.9
1905-08-01,46.5
1905-09-01,60.3
1905-10-01,114.8
1905-11-01,6.6
1905-12-01,26
1906-01-01,0.6
1906-02-01,35.4
1906-03-01,219.8
1906-04-01,100.4
1906-05-01,94.9
1906-06-01,107.4
1906-07-01,59.7
1906-08-01,65
1906-09-01,129
1906-10-01,113.2
1906-11-01,92.6
1906-12-01,43.2
1907-01-01,93
1907-02-01,6.6
1907-03-01,24.6
1907-04-01,57.8
1907-05-01,31.2
1907-06-01,65.3
1907-07-01,57.7
1907-08-01,68.6
1907-09-01,43.2
1907-10-01,32.6
1907-11-01,79.5
1907-12-01,106.4
1908-01-01,19
1908-02-01,41.5
1908-03-01,11.1
1908-04-01,31.3
1908-05-01,48.5
1908-06-01,142.7
1908-07-01,68
1908-08-01,48.7
1908-09-01,105.9
1908-10-01,44.6
1908-11-01,46.8
1908-12-01,6
1909-01-01,22.1
1909-02-01,56.1
1909-03-01,49.3
1909-04-01,75.1
1909-05-01,66.2
1909-06-01,140.7
1909-07-01,57.1
1909-08-01,120.6
1909-09-01,49.2
1909-10-01,75.3
1909-11-01,12
1909-12-01,16.1
1910-01-01,62
1910-02-01,2.1
1910-03-01,77.2
1910-04-01,6.1
1910-05-01,49.4
1910-06-01,81.6
1910-07-01,97.8
1910-08-01,31.8
1910-09-01,93.7
1910-10-01,66.3
1910-11-01,68.3
1910-12-01,46.7
1911-01-01,83.9
1911-02-01,86.3
1911-03-01,79.7
1911-04-01,1.9
1911-05-01,89.4
1911-06-01,88.6
1911-07-01,83.2
1911-08-01,16.1
1911-09-01,76.6
1911-10-01,3.3
1911-11-01,57.6
1911-12-01,54.9
1912-01-01,3
1912-02-01,14.1
1912-03-01,20.6
1912-04-01,10.9
1912-05-01,7.1
1912-06-01,77.4
1912-07-01,140.3
1912-08-01,76.2
1912-09-01,66.1
1912-10-01,33.2
1912-11-01,72.8
1912-12-01,67
1913-01-01,48.1
1913-02-01,27
