Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,040094,1896,07,82.3,Y
IDCJAC0001,040094,1896,08,4.8,Y
IDCJAC0001,040094,1896,09,40.1,Y
IDCJAC0001,040094,1896,10,13.5,Y
IDCJAC0001,040094,1896,11,91.2,Y
IDCJAC0001,040094,1896,12,133.6,Y
IDCJAC0001,040094,1897,01,84.3,Y
IDCJAC0001,040094,1897,02,29.2,Y
IDCJAC0001,040094,1897,03,91.4,Y
IDCJAC0001,040094,1897,04,0.0,Y
IDCJAC0001,040094,1897,05,0.0,Y
IDCJAC0001,040094,1897,06,25.5,Y
IDCJAC0001,040094,1897,07,24.9,Y
IDCJAC0001,040094,1897,08,30.2,Y
IDCJAC0001,040094,1897,09,54.8,Y
IDCJAC0001,040094,1897,10,84.9,Y
IDCJAC0001,040094,1897,11,14.0,Y
IDCJAC0001,040094,1897,12,168.2,Y
IDCJAC0001,040094,1898,01,227.6,Y
IDCJAC0001,040094,1898,02,37.4,Y
IDCJAC0001,040094,1898,03,116.8,Y
IDCJAC0001,040094,1898,04,0.0,Y
IDCJAC0001,040094,1898,05,22.8,Y
IDCJAC0001,040094,1898,06,17.5,Y
IDCJAC0001,040094,1898,07,3.8,Y
IDCJAC0001,040094,1898,08,47.6,Y
IDCJAC0001,040094,1898,09,27.8,Y
IDCJAC0001,040094,1898,10,29.0,Y
IDCJAC0001,040094,1898,11,54.6,Y
IDCJAC0001,040094,1898,12,58.2,Y
IDCJAC0001,040094,1899,01,149.4,Y
IDCJAC0001,040094,1899,02,17.8,Y
IDCJAC0001,040094,1899,03,9.9,Y
IDCJAC0001,040094,1899,04,86.2,Y
IDCJAC0001,040094,1899,05,21.6,Y
IDCJAC0001,040094,1899,06,49.0,Y
IDCJAC0001,040094,1899,07,51.5,Y
IDCJAC0001,040094,1899,08,23.6,Y
IDCJAC0001,040094,1899,09,48.3,Y
IDCJAC0001,040094,1899,10,37.0,Y
IDCJAC0001,040094,1899,11,58.2,Y
IDCJAC0001,040094,1899,12,176.6,Y
IDCJAC0001,040094,1900,01,91.2,Y
IDCJAC0001,040094,1900,02,74.5,Y
IDCJAC0001,040094,1900,03,22.2,Y
IDCJAC0001,040094,1900,04,47.0,Y
IDCJAC0001,040094,1900,05,230.9,Y
IDCJAC0001,040094,1900,06,40.4,Y
IDCJAC0001,040094,1900,07,29.0,Y
IDCJAC0001,040094,1900,08,46.5,Y
IDCJAC0001,040094,1900,09,42.2,Y
IDCJAC0001,040094,1900,10,0.8,Y
IDCJAC0001,040094,1900,11,41.1,Y
IDCJAC0001,040094,1900,12,15.7,Y
IDCJAC0001,040094,1901,01,125.9,Y
IDCJAC0001,040094,1901,02,32.1,Y
IDCJAC0001,040094,1901,03,250.4,Y
IDCJAC0001,040094,1901,04,12.7,Y
IDCJAC0001,040094,1901,05,9.9,Y
IDCJAC0001,040094,1901,06,73.6,Y
IDCJAC0001,040094,1901,07,14.7,Y
IDCJAC0001,040094,1901,08,45.3,Y
IDCJAC0001,040094,1901,09,38.9,Y
IDCJAC0001,040094,1901,10,12.9,Y
IDCJAC0001,040094,1901,11,22.1,Y
IDCJAC0001,040094,1901,12,19.8,Y
IDCJAC0001,040094,1902,01,9.4,Y
IDCJAC0001,040094,1902,02,81.2,Y
IDCJAC0001,040094,1902,03,13.2,Y
IDCJAC0001,040094,1902,04,0.0,Y
IDCJAC0001,040094,1902,05,0.0,Y
IDCJAC0001,040094,1902,06,0.0,Y
IDCJAC0001,040094,1902,07,0.0,Y
IDCJAC0001,040094,1902,08,11.9,Y
IDCJAC0001,040094,1902,09,23.6,Y
IDCJAC0001,040094,1902,10,83.1,Y
IDCJAC0001,040094,1902,11,152.1,Y
IDCJAC0001,040094,1902,12,140.5,Y
IDCJAC0001,040094,1903,01,29.5,Y
IDCJAC0001,040094,1903,02,135.1,Y
IDCJAC0001,040094,1903,03,45.7,Y
IDCJAC0001,040094,1903,04,16.1,Y
IDCJAC0001,040094,1903,05,213.8,Y
IDCJAC0001,040094,1903,06,0.0,Y
IDCJAC0001,040094,1903,07,139.3,Y
IDCJAC0001,040094,1903,08,46.8,Y
IDCJAC0001,040094,1903,09,77.0,Y
IDCJAC0001,040094,1903,10,92.5,Y
IDCJAC0001,040094,1903,11,69.8,Y
IDCJAC0001,040094,1903,12,30.0,Y
IDCJAC0001,040094,1904,01,110.8,Y
IDCJAC0001,040094,1904,02,29.9,Y
IDCJAC0001,040094,1904,03,78.3,Y
IDCJAC0001,040094,1904,04,53.4,Y
IDCJAC0001,040094,1904,05,90.8,Y
IDCJAC0001,040094,1904,06,4.8,Y
IDCJAC0001,040094,1904,07,24.6,Y
IDCJAC0001,040094,1904,08,2.1,Y
IDCJAC0001,040094,1904,09,60.0,Y
IDCJAC0001,040094,1904,10,51.2,Y
IDCJAC0001,040094,1904,11,38.8,Y
IDCJAC0001,040094,1904,12,165.4,Y
IDCJAC0001,040094,1905,01,135.3,Y
IDCJAC0001,040094,1905,02,20.6,Y
IDCJAC0001,040094,1905,03,140.0,Y
IDCJAC0001,040094,1905,04,65.8,Y
IDCJAC0001,040094,1905,05,49.8,Y
IDCJAC0001,040094,1905,06,6.9,Y
IDCJAC0001,040094,1905,07,0.0,Y
IDCJAC0001,040094,1905,08,7.3,Y
IDCJAC0001,040094,1905,09,14.3,Y
IDCJAC0001,040094,1905,10,74.5,Y
IDCJAC0001,040094,1905,11,92.9,Y
IDCJAC0001,040094,1905,12,80.5,Y
IDCJAC0001,040094,1906,01,81.5,Y
IDCJAC0001,040094,1906,02,89.7,Y
IDCJAC0001,040094,1906,03,96.2,Y
IDCJAC0001,040094,1906,04,10.4,Y
IDCJAC0001,040094,1906,05,58.2,Y
IDCJAC0001,040094,1906,06,12.0,Y
IDCJAC0001,040094,1906,07,3.3,Y
IDCJAC0001,040094,1906,08,71.0,Y
IDCJAC0001,040094,1906,09,92.1,Y
IDCJAC0001,040094,1906,10,52.6,Y
IDCJAC0001,040094,1906,11,31.0,Y
IDCJAC0001,040094,1906,12,113.1,Y
IDCJAC0001,040094,1907,01,59.2,Y
IDCJAC0001,040094,1907,02,60.0,Y
IDCJAC0001,040094,1907,03,62.1,Y
IDCJAC0001,040094,1907,04,15.3,Y
IDCJAC0001,040094,1907,05,92.3,Y
IDCJAC0001,040094,1907,06,30.9,Y
IDCJAC0001,040094,1907,07,9.5,Y
IDCJAC0001,040094,1907,08,18.3,Y
IDCJAC0001,040094,1907,09,1.5,Y
IDCJAC0001,040094,1907,10,28.5,Y
IDCJAC0001,040094,1907,11,106.9,Y
IDCJAC0001,040094,1907,12,140.3,Y
IDCJAC0001,040094,1908,01,11.7,Y
IDCJAC0001,040094,1908,02,147.7,Y
IDCJAC0001,040094,1908,03,295.2,Y
IDCJAC0001,040094,1908,04,44.3,Y
IDCJAC0001,040094,1908,05,20.1,Y
IDCJAC0001,040094,1908,06,3.8,Y
IDCJAC0001,040094,1908,07,6.1,Y
IDCJAC0001,040094,1908,08,74.2,Y
IDCJAC0001,040094,1908,09,45.3,Y
IDCJAC0001,040094,1908,10,31.5,Y
IDCJAC0001,040094,1908,11,79.5,Y
IDCJAC0001,040094,1908,12,67.9,Y
IDCJAC0001,040094,1909,01,38.1,Y
IDCJAC0001,040094,1909,02,63.0,Y
IDCJAC0001,040094,1909,03,73.8,Y
IDCJAC0001,040094,1909,04,67.5,Y
IDCJAC0001,040094,1909,05,5.1,Y
IDCJAC0001,040094,1909,06,23.5,Y
IDCJAC0001,040094,1909,07,44.0,Y
IDCJAC0001,040094,1909,08,36.8,Y
IDCJAC0001,040094,1909,09,26.1,Y
IDCJAC0001,040094,1909,10,95.3,Y
IDCJAC0001,040094,1909,11,90.3,Y
IDCJAC0001,040094,1909,12,163.9,Y
IDCJAC0001,040094,1910,01,231.2,Y
IDCJAC0001,040094,1910,02,72.3,Y
IDCJAC0001,040094,1910,03,101.8,Y
IDCJAC0001,040094,1910,04,24.4,Y
IDCJAC0001,040094,1910,05,5.0,Y
IDCJAC0001,040094,1910,06,82.3,Y
IDCJAC0001,040094,1910,07,46.7,Y
IDCJAC0001,040094,1910,08,0.0,Y
IDCJAC0001,040094,1910,09,33.0,Y
IDCJAC0001,040094,1910,10,32.6,Y
IDCJAC0001,040094,1910,11,70.4,Y
IDCJAC0001,040094,1910,12,88.9,Y
IDCJAC0001,040094,1911,01,175.6,Y
IDCJAC0001,040094,1911,02,15.7,Y
IDCJAC0001,040094,1911,03,108.0,Y
IDCJAC0001,040094,1911,04,19.1,Y
IDCJAC0001,040094,1911,05,10.2,Y
IDCJAC0001,040094,1911,06,0.0,Y
IDCJAC0001,040094,1911,07,25.4,Y
IDCJAC0001,040094,1911,08,32.0,Y
IDCJAC0001,040094,1911,09,22.9,Y
IDCJAC0001,040094,1911,10,48.0,Y
IDCJAC0001,040094,1911,11,13.5,Y
IDCJAC0001,040094,1911,12,0.0,Y
IDCJAC0001,040094,1912,01,50.7,Y
IDCJAC0001,040094,1912,02,78.8,Y
IDCJAC0001,040094,1912,03,69.8,Y
IDCJAC0001,040094,1912,04,0.0,Y
IDCJAC0001,040094,1912,05,0.0,Y
IDCJAC0001,040094,1912,06,141.8,Y
IDCJAC0001,040094,1912,07,52.9,Y
IDCJAC0001,040094,1912,08,17.5,Y
IDCJAC0001,040094,1912,09,7.6,Y
IDCJAC0001,040094,1912,10,85.5,Y
IDCJAC0001,040094,1912,11,94.3,Y
IDCJAC0001,040094,1912,12,42.4,Y
IDCJAC0001,040094,1913,01,97.4,Y
IDCJAC0001,040094,1913,02,41.8,Y
IDCJAC0001,040094,1913,03,49.0,Y
IDCJAC0001,040094,1913,04,31.2,Y
IDCJAC0001,040094,1913,05,108.1,Y
IDCJAC0001,040094,1913,06,106.0,Y
IDCJAC0001,040094,1913,07,9.9,Y
IDCJAC0001,040094,1913,08,0.0,Y
IDCJAC0001,040094,1913,09,52.1,Y
IDCJAC0001,040094,1913,10,38.5,Y
IDCJAC0001,040094,1913,11,28.2,Y
IDCJAC0001,040094,1913,12,143.1,Y
