Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,010658,1904,08,80.0,Y
IDCJAC0001,010658,1904,09,56.6,Y
IDCJAC0001,010658,1904,10,54.4,Y
IDCJAC0001,010658,1904,11,9.4,Y
IDCJAC0001,010658,1904,12,20.1,Y
IDCJAC0001,010658,1905,01,0.0,Y
IDCJAC0001,010658,1905,02,3.3,Y
IDCJAC0001,010658,1905,03,2.5,Y
IDCJAC0001,010658,1905,04,38.1,Y
IDCJAC0001,010658,1905,05,142.7,Y
IDCJAC0001,010658,1905,06,63.8,Y
IDCJAC0001,010658,1905,07,90.4,Y
IDCJAC0001,010658,1905,08,45.5,Y
IDCJAC0001,010658,1905,09,114.3,Y
IDCJAC0001,010658,1905,10,52.8,Y
IDCJAC0001,010658,1905,11,14.0,Y
IDCJAC0001,010658,1905,12,29.5,Y
IDCJAC0001,010658,1906,01,4.6,Y
IDCJAC0001,010658,1906,02,3.6,Y
IDCJAC0001,010658,1906,03,3.6,Y
IDCJAC0001,010658,1906,04,10.2,Y
IDCJAC0001,010658,1906,05,47.5,Y
IDCJAC0001,010658,1906,06,110.0,Y
IDCJAC0001,010658,1906,07,127.5,Y
IDCJAC0001,010658,1906,08,81.0,Y
IDCJAC0001,010658,1906,09,72.6,Y
IDCJAC0001,010658,1906,10,19.3,Y
IDCJAC0001,010658,1906,11,8.6,Y
IDCJAC0001,010658,1906,12,13.2,Y
IDCJAC0001,010658,1907,01,24.9,Y
IDCJAC0001,010658,1907,02,12.9,Y
IDCJAC0001,010658,1907,03,19.9,Y
IDCJAC0001,010658,1907,04,10.4,Y
IDCJAC0001,010658,1907,05,89.4,Y
IDCJAC0001,010658,1907,06,76.1,Y
IDCJAC0001,010658,1907,07,151.9,Y
IDCJAC0001,010658,1907,08,119.9,Y
IDCJAC0001,010658,1907,09,59.4,Y
IDCJAC0001,010658,1907,10,33.2,Y
IDCJAC0001,010658,1907,11,8.5,Y
IDCJAC0001,010658,1907,12,1.1,Y
IDCJAC0001,010658,1908,01,1.9,Y
IDCJAC0001,010658,1908,02,3.7,Y
IDCJAC0001,010658,1908,03,10.8,Y
IDCJAC0001,010658,1908,04,42.7,Y
IDCJAC0001,010658,1908,05,93.0,Y
IDCJAC0001,010658,1908,06,92.4,Y
IDCJAC0001,010658,1908,07,102.1,Y
IDCJAC0001,010658,1908,08,46.5,Y
IDCJAC0001,010658,1908,09,25.2,Y
IDCJAC0001,010658,1908,10,17.3,Y
IDCJAC0001,010658,1908,11,10.0,Y
IDCJAC0001,010658,1908,12,1.8,Y
IDCJAC0001,010658,1909,01,5.8,Y
IDCJAC0001,010658,1909,02,0.3,Y
IDCJAC0001,010658,1909,03,32.5,Y
IDCJAC0001,010658,1909,04,31.8,Y
IDCJAC0001,010658,1909,05,67.3,Y
IDCJAC0001,010658,1909,06,87.8,Y
IDCJAC0001,010658,1909,07,33.8,Y
IDCJAC0001,010658,1909,08,135.2,Y
IDCJAC0001,010658,1909,09,65.8,Y
IDCJAC0001,010658,1909,10,32.4,Y
IDCJAC0001,010658,1909,11,11.9,Y
IDCJAC0001,010658,1909,12,2.1,Y
IDCJAC0001,010658,1910,01,5.3,Y
IDCJAC0001,010658,1910,02,1.8,Y
IDCJAC0001,010658,1910,03,0.0,Y
IDCJAC0001,010658,1910,04,28.8,Y
IDCJAC0001,010658,1910,05,113.8,Y
IDCJAC0001,010658,1910,06,165.7,Y
IDCJAC0001,010658,1910,07,127.4,Y
IDCJAC0001,010658,1910,08,53.8,Y
IDCJAC0001,010658,1910,09,40.8,Y
IDCJAC0001,010658,1910,10,19.6,Y
IDCJAC0001,010658,1910,11,42.2,Y
IDCJAC0001,010658,1910,12,2.4,Y
IDCJAC0001,010658,1911,01,21.1,Y
IDCJAC0001,010658,1911,02,0.3,Y
IDCJAC0001,010658,1911,03,9.2,Y
IDCJAC0001,010658,1911,04,54.4,Y
IDCJAC0001,010658,1911,05,30.3,Y
IDCJAC0001,010658,1911,06,65.2,Y
IDCJAC0001,010658,1911,07,64.6,Y
IDCJAC0001,010658,1911,08,45.9,Y
IDCJAC0001,010658,1911,09,34.8,Y
IDCJAC0001,010658,1911,10,47.7,Y
IDCJAC0001,010658,1911,11,0.5,Y
IDCJAC0001,010658,1911,12,0.6,Y
IDCJAC0001,010658,1912,01,0.0,Y
IDCJAC0001,010658,1912,02,1.1,Y
IDCJAC0001,010658,1912,03,2.6,Y
IDCJAC0001,010658,1912,04,8.8,Y
IDCJAC0001,010658,1912,05,70.0,Y
IDCJAC0001,010658,1912,06,36.6,Y
IDCJAC0001,010658,1912,07,137.7,Y
IDCJAC0001,010658,1912,08,46.2,Y
IDCJAC0001,010658,1912,09,107.4,Y
IDCJAC0001,010658,1912,10,17.9,Y
IDCJAC0001,010658,1912,11,5.3,Y
IDCJAC0001,010658,1912,12,71.6,Y
IDCJAC0001,010658,1913,01,3.1,Y
IDCJAC0001,010658,1913,02,6.6,Y
IDCJAC0001,010658,1913,03,7.9,Y
IDCJAC0001,010658,1913,04,21.7,Y
IDCJAC0001,010658,1913,05,20.8,Y
