Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,051042,1900,null,null,4.8,21.3,65.0,37.2,35.3,0.3,19.9,6.1,1.5,27.7,null
IDCJAC0001,051042,1901,18.7,2.8,24.3,105.2,31.3,39.8,25.0,73.2,18.5,20.8,20.1,0.0,379.7
IDCJAC0001,051042,1902,5.7,10.4,9.7,4.5,0.0,2.3,3.9,22.6,10.6,21.6,94.7,37.5,223.5
IDCJAC0001,051042,1903,33.8,0.0,24.7,52.1,59.7,5.9,68.4,27.3,98.6,29.2,26.1,35.4,461.2
IDCJAC0001,051042,1904,56.1,47.5,58.0,8.8,12.0,8.4,37.5,9.4,5.6,50.1,3.9,12.4,309.7
IDCJAC0001,051042,1905,7.7,65.8,59.5,181.3,58.8,16.3,33.4,18.1,0.8,4.2,25.9,19.8,491.6
IDCJAC0001,051042,1906,37.5,54.6,61.8,14.0,37.8,34.5,0.8,77.8,134.0,43.5,48.9,22.0,567.2
IDCJAC0001,051042,1907,106.1,11.2,38.0,10.9,0.5,33.3,13.2,33.3,8.7,7.9,35.3,60.2,358.6
IDCJAC0001,051042,1908,18.5,110.3,27.7,44.7,26.0,12.0,13.7,54.7,16.8,45.0,52.1,39.1,460.6
IDCJAC0001,051042,1909,23.3,104.1,22.9,19.0,11.6,75.3,15.5,96.3,16.5,18.3,26.1,50.4,479.3
IDCJAC0001,051042,1910,94.6,13.2,88.9,9.1,21.9,66.4,23.0,17.8,27.0,32.2,39.1,87.0,520.2
IDCJAC0001,051042,1911,132.7,57.3,1.1,0.3,32.0,10.1,18.8,75.9,12.1,13.5,49.7,105.0,508.5
IDCJAC0001,051042,1912,6.3,2.9,27.7,0.0,0.0,77.5,64.0,6.4,6.9,50.0,42.6,15.1,299.4
IDCJAC0001,051042,1913,37.2,61.0,48.6,49.9,98.6,84.4,8.7,12.4,22.6,15.7,16.0,55.1,510.2
IDCJAC0001,051042,1914,72.2,56.6,46.7,7.4,54.6,4.1,19.6,0.0,2.0,11.2,38.9,102.4,415.7
IDCJAC0001,051042,1915,2.6,2.5,12.7,8.9,81.5,16.1,34.8,27.3,18.8,26.7,0.0,63.2,295.1
IDCJAC0001,051042,1916,4.5,7.1,1.3,130.4,8.6,87.6,96.4,17.7,25.4,103.5,54.6,61.0,598.1
IDCJAC0001,051042,1917,28.2,73.6,5.3,0.0,3.6,87.9,25.2,26.2,40.4,17.9,131.3,65.5,505.1
IDCJAC0001,051042,1918,54.0,17.2,13.7,15.0,23.8,4.1,29.2,55.7,6.1,2.5,6.3,4.3,231.9
IDCJAC0001,051042,1919,20.9,9.4,10.4,6.1,83.0,0.3,8.9,32.8,8.7,7.4,0.0,36.6,224.5
IDCJAC0001,051042,1920,10.2,8.9,4.6,7.1,9.4,140.3,137.2,37.7,90.0,32.6,55.4,19.9,553.3
IDCJAC0001,051042,1921,33.2,49.0,50.0,127.7,88.2,72.9,120.6,18.3,33.5,9.9,14.7,93.4,711.4
IDCJAC0001,051042,1922,20.6,6.9,0.3,9.4,0.0,23.4,48.2,9.7,13.0,17.3,0.0,72.7,221.5
IDCJAC0001,051042,1923,11.3,23.9,20.9,1.3,9.7,74.5,25.5,4.6,19.6,30.3,19.8,75.2,316.6
IDCJAC0001,051042,1924,10.7,50.8,0.0,16.0,0.5,18.8,38.1,25.9,73.1,35.0,161.3,36.9,467.1
IDCJAC0001,051042,1925,39.9,35.8,34.5,0.5,55.7,119.7,20.4,26.7,5.1,7.9,81.7,77.0,504.9
IDCJAC0001,051042,1926,33.5,7.1,184.3,146.9,40.7,25.4,14.3,6.6,32.1,7.1,1.3,88.9,588.2
IDCJAC0001,051042,1927,51.3,6.6,6.4,30.0,7.1,15.9,0.0,8.2,10.6,38.8,56.6,46.2,277.7
IDCJAC0001,051042,1928,54.8,47.4,19.6,22.6,7.9,22.9,33.5,8.4,0.0,8.7,16.7,12.2,254.7
