Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,006010,1910,01,0.0,Y
IDCJAC0001,006010,1911,01,63.5,Y
IDCJAC0001,006010,1911,02,0.0,Y
IDCJAC0001,006010,1911,03,0.0,Y
IDCJAC0001,006010,1911,04,0.0,Y
IDCJAC0001,006010,1911,05,6.4,Y
IDCJAC0001,006010,1911,06,23.7,Y
IDCJAC0001,006010,1911,07,15.3,Y
IDCJAC0001,006010,1911,08,0.0,Y
IDCJAC0001,006010,1911,09,0.0,Y
IDCJAC0001,006010,1911,10,0.0,Y
IDCJAC0001,006010,1911,11,4.6,Y
IDCJAC0001,006010,1911,12,0.0,Y
IDCJAC0001,006010,1912,01,8.1,Y
IDCJAC0001,006010,1912,02,50.5,Y
IDCJAC0001,006010,1912,03,2.3,Y
IDCJAC0001,006010,1912,04,0.0,Y
IDCJAC0001,006010,1912,05,49.0,Y
IDCJAC0001,006010,1912,06,0.0,Y
IDCJAC0001,006010,1912,07,49.2,Y
IDCJAC0001,006010,1912,08,0.0,Y
IDCJAC0001,006010,1928,01,41.2,Y
IDCJAC0001,006010,1928,02,0.0,Y
IDCJAC0001,006010,1928,03,5.1,Y
IDCJAC0001,006010,1928,04,1.0,Y
IDCJAC0001,006010,1928,05,69.9,Y
IDCJAC0001,006010,1928,06,13.2,Y
IDCJAC0001,006010,1928,07,16.8,Y
IDCJAC0001,006010,1928,08,0.0,Y
IDCJAC0001,006010,1928,09,0.0,Y
IDCJAC0001,006010,1928,10,0.0,Y
IDCJAC0001,006010,1928,11,0.0,Y
IDCJAC0001,006010,1928,12,0.0,Y
IDCJAC0001,006010,1929,01,9.7,Y
IDCJAC0001,006010,1929,02,73.2,Y
IDCJAC0001,006010,1929,03,130.0,Y
IDCJAC0001,006010,1929,04,0.0,Y
IDCJAC0001,006010,1929,05,131.1,Y
IDCJAC0001,006010,1929,06,14.5,Y
IDCJAC0001,006010,1929,07,2.6,Y
IDCJAC0001,006010,1929,08,20.6,Y
IDCJAC0001,006010,1929,09,0.0,Y
IDCJAC0001,006010,1929,10,0.0,Y
IDCJAC0001,006010,1929,11,0.0,Y
IDCJAC0001,006010,1929,12,0.0,Y
IDCJAC0001,006010,1930,01,2.8,Y
IDCJAC0001,006010,1930,02,5.1,Y
IDCJAC0001,006010,1930,03,24.2,Y
IDCJAC0001,006010,1930,04,14.8,Y
IDCJAC0001,006010,1930,05,1.3,Y
IDCJAC0001,006010,1930,06,32.0,Y
IDCJAC0001,006010,1930,07,0.0,Y
IDCJAC0001,006010,1930,08,71.0,Y
IDCJAC0001,006010,1930,09,7.3,Y
IDCJAC0001,006010,1930,10,7.6,Y
IDCJAC0001,006010,1930,11,0.0,Y
IDCJAC0001,006010,1930,12,12.4,Y
IDCJAC0001,006010,1931,01,2.8,Y
IDCJAC0001,006010,1931,02,6.9,Y
IDCJAC0001,006010,1931,03,0.0,Y
IDCJAC0001,006010,1931,04,37.9,Y
IDCJAC0001,006010,1931,05,10.4,Y
IDCJAC0001,006010,1931,06,35.0,Y
IDCJAC0001,006010,1931,07,38.9,Y
IDCJAC0001,006010,1931,08,18.5,Y
IDCJAC0001,006010,1931,09,0.0,Y
IDCJAC0001,006010,1931,10,5.6,Y
IDCJAC0001,006010,1931,11,0.0,Y
IDCJAC0001,006010,1931,12,12.7,Y
IDCJAC0001,006010,1932,01,23.1,Y
IDCJAC0001,006010,1932,02,0.0,Y
IDCJAC0001,006010,1932,03,3.0,Y
IDCJAC0001,006010,1932,04,20.3,Y
IDCJAC0001,006010,1932,05,29.2,Y
IDCJAC0001,006010,1932,06,34.3,Y
IDCJAC0001,006010,1932,07,19.1,Y
IDCJAC0001,006010,1932,08,39.9,Y
IDCJAC0001,006010,1932,09,0.0,Y
IDCJAC0001,006010,1932,10,0.0,Y
IDCJAC0001,006010,1932,11,0.0,Y
IDCJAC0001,006010,1932,12,76.1,Y
IDCJAC0001,006010,1933,01,15.2,Y
IDCJAC0001,006010,1933,02,0.0,Y
IDCJAC0001,006010,1933,03,227.8,Y
IDCJAC0001,006010,1933,04,0.0,Y
IDCJAC0001,006010,1933,05,44.2,Y
IDCJAC0001,006010,1933,06,17.6,Y
IDCJAC0001,006010,1933,07,36.0,Y
IDCJAC0001,006010,1933,08,18.6,Y
IDCJAC0001,006010,1933,09,0.0,Y
IDCJAC0001,006010,1933,10,0.0,Y
IDCJAC0001,006010,1933,11,0.0,Y
IDCJAC0001,006010,1933,12,0.0,Y
IDCJAC0001,006010,1934,01,0.0,Y
IDCJAC0001,006010,1934,02,0.0,Y
IDCJAC0001,006010,1934,03,96.4,Y
IDCJAC0001,006010,1934,04,33.5,Y
IDCJAC0001,006010,1934,05,7.1,Y
IDCJAC0001,006010,1934,06,20.1,Y
IDCJAC0001,006010,1934,07,19.8,Y
IDCJAC0001,006010,1934,08,0.0,Y
IDCJAC0001,006010,1934,09,0.0,Y
IDCJAC0001,006010,1934,10,0.0,Y
IDCJAC0001,006010,1934,11,0.0,Y
IDCJAC0001,006010,1934,12,0.0,Y
IDCJAC0001,006010,1935,01,16.0,Y
IDCJAC0001,006010,1935,02,31.0,Y
IDCJAC0001,006010,1935,03,25.2,Y
IDCJAC0001,006010,1935,04,0.0,Y
IDCJAC0001,006010,1935,05,0.0,Y
IDCJAC0001,006010,1935,06,7.6,Y
IDCJAC0001,006010,1935,07,8.9,Y
IDCJAC0001,006010,1935,08,13.9,Y
IDCJAC0001,006010,1935,09,0.0,Y
IDCJAC0001,006010,1935,10,0.0,Y
IDCJAC0001,006010,1935,11,0.0,Y
IDCJAC0001,006010,1935,12,0.0,Y
IDCJAC0001,006010,1936,01,0.0,Y
IDCJAC0001,006010,1936,02,1.5,Y
IDCJAC0001,006010,1936,03,0.0,Y
IDCJAC0001,006010,1936,04,4.8,Y
IDCJAC0001,006010,1936,05,22.1,Y
IDCJAC0001,006010,1936,06,22.1,Y
IDCJAC0001,006010,1936,07,0.0,Y
IDCJAC0001,006010,1936,08,0.0,Y
IDCJAC0001,006010,1936,09,0.0,Y
IDCJAC0001,006010,1936,10,0.0,Y
IDCJAC0001,006010,1936,11,0.0,Y
IDCJAC0001,006010,1936,12,26.9,Y
IDCJAC0001,006010,1937,01,6.9,Y
IDCJAC0001,006010,1937,02,34.5,Y
IDCJAC0001,006010,1937,03,2.0,Y
IDCJAC0001,006010,1937,04,38.1,Y
IDCJAC0001,006010,1937,05,27.9,Y
IDCJAC0001,006010,1937,06,25.9,Y
IDCJAC0001,006010,1937,07,0.0,Y
IDCJAC0001,006010,1937,08,11.9,Y
IDCJAC0001,006010,1937,09,4.1,Y
IDCJAC0001,006010,1937,10,0.0,Y
IDCJAC0001,006010,1937,11,0.0,Y
IDCJAC0001,006010,1937,12,0.0,Y
IDCJAC0001,006010,1938,01,4.0,Y
IDCJAC0001,006010,1938,02,22.8,Y
IDCJAC0001,006010,1938,03,32.5,Y
IDCJAC0001,006010,1938,04,17.3,Y
IDCJAC0001,006010,1938,05,0.0,Y
IDCJAC0001,006010,1938,06,6.4,Y
IDCJAC0001,006010,1938,07,14.4,Y
IDCJAC0001,006010,1938,08,0.0,Y
IDCJAC0001,006010,1938,09,0.0,Y
IDCJAC0001,006010,1938,10,0.0,Y
IDCJAC0001,006010,1938,11,2.3,Y
IDCJAC0001,006010,1938,12,6.9,Y
IDCJAC0001,006010,1939,01,31.8,Y
IDCJAC0001,006010,1939,02,26.4,Y
IDCJAC0001,006010,1939,03,0.0,Y
IDCJAC0001,006010,1939,04,0.0,Y
IDCJAC0001,006010,1939,05,0.0,Y
IDCJAC0001,006010,1939,06,36.3,Y
IDCJAC0001,006010,1939,07,32.3,Y
IDCJAC0001,006010,1939,08,17.8,Y
IDCJAC0001,006010,1939,09,0.0,Y
IDCJAC0001,006010,1939,10,7.9,Y
IDCJAC0001,006010,1939,11,4.5,Y
IDCJAC0001,006010,1939,12,0.0,Y
IDCJAC0001,006010,1940,01,10.2,Y
IDCJAC0001,006010,1940,02,0.0,Y
IDCJAC0001,006010,1940,03,0.0,Y
IDCJAC0001,006010,1940,04,12.7,Y
IDCJAC0001,006010,1940,05,0.0,Y
IDCJAC0001,006010,1940,06,2.8,Y
IDCJAC0001,006010,1940,07,49.6,Y
IDCJAC0001,006010,1940,08,0.0,Y
IDCJAC0001,006010,1940,09,0.0,Y
IDCJAC0001,006010,1940,10,0.0,Y
IDCJAC0001,006010,1940,11,0.0,Y
IDCJAC0001,006010,1940,12,2.8,Y
IDCJAC0001,006010,1941,01,2.8,Y
IDCJAC0001,006010,1941,02,42.4,Y
IDCJAC0001,006010,1941,03,12.2,Y
IDCJAC0001,006010,1941,04,27.7,Y
IDCJAC0001,006010,1941,05,22.9,Y
IDCJAC0001,006010,1941,06,35.1,Y
IDCJAC0001,006010,1941,07,0.0,Y
IDCJAC0001,006010,1941,08,36.8,Y
IDCJAC0001,006010,1941,09,0.0,Y
IDCJAC0001,006010,1941,10,0.0,Y
IDCJAC0001,006010,1941,11,0.0,Y
IDCJAC0001,006010,1941,12,25.9,Y
IDCJAC0001,006010,1942,01,26.6,Y
IDCJAC0001,006010,1942,02,72.2,Y
IDCJAC0001,006010,1942,03,79.0,Y
IDCJAC0001,006010,1942,04,0.0,Y
IDCJAC0001,006010,1942,05,29.9,Y
IDCJAC0001,006010,1942,06,44.5,Y
IDCJAC0001,006010,1942,07,19.1,Y
IDCJAC0001,006010,1942,08,14.2,Y
IDCJAC0001,006010,1942,09,0.0,Y
IDCJAC0001,006010,1942,10,0.0,Y
IDCJAC0001,006010,1942,11,0.0,Y
IDCJAC0001,006010,1942,12,0.0,Y
IDCJAC0001,006010,1943,01,0.0,Y
IDCJAC0001,006010,1943,02,0.8,Y
IDCJAC0001,006010,1943,03,229.7,Y
IDCJAC0001,006010,1943,04,0.0,Y
IDCJAC0001,006010,1943,05,11.2,Y
IDCJAC0001,006010,1943,06,37.4,Y
IDCJAC0001,006010,1943,07,3.3,Y
IDCJAC0001,006010,1943,08,3.5,Y
IDCJAC0001,006010,1943,09,3.3,Y
IDCJAC0001,006010,1943,10,0.0,Y
IDCJAC0001,006010,1943,11,7.6,Y
IDCJAC0001,006010,1943,12,0.0,Y
IDCJAC0001,006010,1944,01,0.0,Y
IDCJAC0001,006010,1944,02,0.0,Y
IDCJAC0001,006010,1944,03,0.0,Y
IDCJAC0001,006010,1944,04,2.8,Y
IDCJAC0001,006010,1944,05,6.6,Y
IDCJAC0001,006010,1944,06,0.0,Y
IDCJAC0001,006010,1944,07,31.5,Y
IDCJAC0001,006010,1944,08,0.0,Y
IDCJAC0001,006010,1944,09,11.2,Y
IDCJAC0001,006010,1944,10,1.3,Y
IDCJAC0001,006010,1944,11,0.0,Y
IDCJAC0001,006010,1944,12,0.0,Y
IDCJAC0001,006010,1945,01,1.5,Y
IDCJAC0001,006010,1945,02,162.8,Y
IDCJAC0001,006010,1945,03,4.3,Y
IDCJAC0001,006010,1945,04,1.3,Y
IDCJAC0001,006010,1945,05,3.6,Y
IDCJAC0001,006010,1945,06,83.3,Y
IDCJAC0001,006010,1945,07,2.3,Y
IDCJAC0001,006010,1945,08,38.6,Y
IDCJAC0001,006010,1945,09,0.0,Y
IDCJAC0001,006010,1945,10,0.0,Y
IDCJAC0001,006010,1945,11,0.0,Y
IDCJAC0001,006010,1945,12,0.0,Y
IDCJAC0001,006010,1946,01,0.0,Y
IDCJAC0001,006010,1946,02,0.0,Y
IDCJAC0001,006010,1946,03,49.0,Y
IDCJAC0001,006010,1946,04,11.7,Y
IDCJAC0001,006010,1946,05,5.3,Y
IDCJAC0001,006010,1946,06,25.4,Y
IDCJAC0001,006010,1946,07,19.6,Y
IDCJAC0001,006010,1946,08,0.0,Y
IDCJAC0001,006010,1946,09,0.0,Y
IDCJAC0001,006010,1946,10,0.0,Y
IDCJAC0001,006010,1946,11,4.8,Y
IDCJAC0001,006010,1946,12,0.0,Y
IDCJAC0001,006010,1947,01,0.0,Y
IDCJAC0001,006010,1947,02,64.5,Y
IDCJAC0001,006010,1947,03,17.8,Y
IDCJAC0001,006010,1947,04,0.0,Y
IDCJAC0001,006010,1947,05,66.5,Y
IDCJAC0001,006010,1947,06,10.2,Y
IDCJAC0001,006010,1947,07,41.4,Y
IDCJAC0001,006010,1947,08,31.0,Y
IDCJAC0001,006010,1947,09,7.6,Y
IDCJAC0001,006010,1947,10,34.8,Y
IDCJAC0001,006010,1947,11,0.8,Y
IDCJAC0001,006010,1947,12,0.8,Y
IDCJAC0001,006010,1948,01,1.8,Y
IDCJAC0001,006010,1948,02,62.0,Y
IDCJAC0001,006010,1948,03,0.0,Y
IDCJAC0001,006010,1948,04,21.1,Y
IDCJAC0001,006010,1948,05,8.1,Y
IDCJAC0001,006010,1948,06,64.0,Y
IDCJAC0001,006010,1948,07,14.5,Y
IDCJAC0001,006010,1948,08,30.0,Y
IDCJAC0001,006010,1948,09,0.0,Y
IDCJAC0001,006010,1948,10,0.0,Y
IDCJAC0001,006010,1948,11,0.0,Y
IDCJAC0001,006010,1948,12,0.0,Y
IDCJAC0001,006010,1949,01,2.0,Y
IDCJAC0001,006010,1949,02,27.0,Y
IDCJAC0001,006010,1949,03,0.0,Y
IDCJAC0001,006010,1949,04,23.3,Y
