Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,007050,1916,10,50.8,Y
IDCJAC0001,007050,1916,11,6.6,Y
IDCJAC0001,007050,1916,12,1.8,Y
IDCJAC0001,007050,1917,01,12.2,Y
IDCJAC0001,007050,1917,02,0.0,Y
IDCJAC0001,007050,1917,03,100.1,Y
IDCJAC0001,007050,1917,04,7.9,Y
IDCJAC0001,007050,1917,05,14.0,Y
IDCJAC0001,007050,1917,06,6.4,Y
IDCJAC0001,007050,1917,07,2.0,Y
IDCJAC0001,007050,1917,08,3.0,Y
IDCJAC0001,007050,1917,09,20.0,Y
IDCJAC0001,007050,1917,10,0.0,Y
IDCJAC0001,007050,1917,11,10.2,Y
IDCJAC0001,007050,1917,12,0.0,Y
IDCJAC0001,007050,1918,01,23.1,Y
IDCJAC0001,007050,1918,02,112.3,Y
IDCJAC0001,007050,1918,03,0.0,Y
IDCJAC0001,007050,1918,04,38.6,Y
IDCJAC0001,007050,1918,05,0.0,Y
IDCJAC0001,007050,1918,06,20.3,Y
IDCJAC0001,007050,1918,07,4.8,Y
IDCJAC0001,007050,1918,08,0.0,Y
IDCJAC0001,007050,1918,09,0.0,Y
IDCJAC0001,007050,1918,10,0.0,Y
IDCJAC0001,007050,1918,11,0.0,Y
IDCJAC0001,007050,1918,12,6.4,Y
IDCJAC0001,007050,1919,01,0.0,Y
IDCJAC0001,007050,1919,02,0.0,Y
IDCJAC0001,007050,1919,03,0.0,Y
IDCJAC0001,007050,1919,04,0.0,Y
IDCJAC0001,007050,1919,05,20.3,Y
IDCJAC0001,007050,1919,06,20.3,Y
IDCJAC0001,007050,1919,07,2.5,Y
IDCJAC0001,007050,1919,08,41.9,Y
IDCJAC0001,007050,1919,09,0.0,Y
IDCJAC0001,007050,1919,10,0.0,Y
IDCJAC0001,007050,1919,11,27.7,Y
IDCJAC0001,007050,1919,12,6.4,Y
IDCJAC0001,007050,1920,01,1.3,Y
IDCJAC0001,007050,1920,02,7.1,Y
IDCJAC0001,007050,1920,03,14.2,Y
IDCJAC0001,007050,1920,04,42.5,Y
IDCJAC0001,007050,1920,05,0.0,Y
IDCJAC0001,007050,1920,06,20.8,Y
IDCJAC0001,007050,1920,07,8.4,Y
IDCJAC0001,007050,1920,08,7.6,Y
IDCJAC0001,007050,1920,09,8.9,Y
IDCJAC0001,007050,1920,10,0.0,Y
IDCJAC0001,007050,1920,11,25.4,Y
IDCJAC0001,007050,1920,12,0.0,Y
IDCJAC0001,007050,1921,01,0.0,Y
IDCJAC0001,007050,1921,02,24.4,Y
IDCJAC0001,007050,1921,03,0.0,Y
IDCJAC0001,007050,1921,04,0.0,Y
IDCJAC0001,007050,1921,05,75.1,Y
IDCJAC0001,007050,1921,06,9.7,Y
IDCJAC0001,007050,1921,07,4.6,Y
IDCJAC0001,007050,1921,08,25.9,Y
IDCJAC0001,007050,1921,09,0.0,Y
IDCJAC0001,007050,1921,10,2.0,Y
IDCJAC0001,007050,1921,11,0.0,Y
IDCJAC0001,007050,1921,12,0.0,Y
IDCJAC0001,007050,1922,01,0.0,Y
IDCJAC0001,007050,1922,02,32.2,Y
IDCJAC0001,007050,1922,03,65.7,Y
IDCJAC0001,007050,1922,04,0.0,Y
IDCJAC0001,007050,1922,05,12.4,Y
IDCJAC0001,007050,1922,06,0.0,Y
IDCJAC0001,007050,1922,07,0.0,Y
IDCJAC0001,007050,1922,08,2.0,Y
IDCJAC0001,007050,1922,09,0.0,Y
IDCJAC0001,007050,1922,10,0.0,Y
IDCJAC0001,007050,1922,11,0.0,Y
IDCJAC0001,007050,1922,12,0.0,Y
IDCJAC0001,007050,1923,01,39.4,Y
IDCJAC0001,007050,1923,02,14.8,Y
IDCJAC0001,007050,1923,03,31.5,Y
IDCJAC0001,007050,1923,04,38.4,Y
IDCJAC0001,007050,1923,05,6.1,Y
IDCJAC0001,007050,1923,06,25.4,Y
IDCJAC0001,007050,1923,07,0.0,Y
IDCJAC0001,007050,1923,08,0.0,Y
IDCJAC0001,007050,1923,09,0.0,Y
IDCJAC0001,007050,1923,10,0.0,Y
IDCJAC0001,007050,1923,11,0.0,Y
IDCJAC0001,007050,1923,12,16.5,Y
IDCJAC0001,007050,1924,01,0.0,Y
IDCJAC0001,007050,1924,02,0.0,Y
IDCJAC0001,007050,1924,03,16.5,Y
IDCJAC0001,007050,1924,04,0.0,Y
IDCJAC0001,007050,1924,05,17.8,Y
IDCJAC0001,007050,1924,06,0.0,Y
IDCJAC0001,007050,1924,07,0.0,Y
IDCJAC0001,007050,1924,08,0.0,Y
IDCJAC0001,007050,1924,09,6.4,Y
IDCJAC0001,007050,1924,10,0.0,Y
IDCJAC0001,007050,1924,11,0.0,Y
IDCJAC0001,007050,1924,12,0.0,Y
