Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,012029,1901,01,5.1,Y
IDCJAC0001,012029,1901,02,39.9,Y
IDCJAC0001,012029,1901,03,0.0,Y
IDCJAC0001,012029,1901,04,5.6,Y
IDCJAC0001,012029,1901,05,8.9,Y
IDCJAC0001,012029,1901,06,17.8,Y
IDCJAC0001,012029,1901,07,6.1,Y
IDCJAC0001,012029,1901,08,29.5,Y
IDCJAC0001,012029,1901,09,33.3,Y
IDCJAC0001,012029,1901,10,20.8,Y
IDCJAC0001,012029,1901,11,7.6,Y
IDCJAC0001,012029,1901,12,9.4,Y
IDCJAC0001,012029,1902,01,42.4,Y
IDCJAC0001,012029,1902,02,72.9,Y
IDCJAC0001,012029,1902,03,0.5,Y
IDCJAC0001,012029,1902,04,0.0,Y
IDCJAC0001,012029,1902,05,60.5,Y
IDCJAC0001,012029,1902,06,16.5,Y
IDCJAC0001,012029,1902,07,26.4,Y
IDCJAC0001,012029,1902,08,24.1,Y
IDCJAC0001,012029,1902,09,64.8,Y
IDCJAC0001,012029,1902,10,28.4,Y
IDCJAC0001,012029,1902,11,31.0,Y
IDCJAC0001,012029,1902,12,41.1,Y
IDCJAC0001,012029,1903,01,2.3,Y
IDCJAC0001,012029,1903,02,2.3,Y
IDCJAC0001,012029,1903,03,0.0,Y
IDCJAC0001,012029,1903,04,51.1,Y
IDCJAC0001,012029,1903,05,37.8,Y
IDCJAC0001,012029,1903,06,10.2,Y
IDCJAC0001,012029,1903,07,37.3,Y
IDCJAC0001,012029,1903,08,9.1,Y
IDCJAC0001,012029,1903,09,19.8,Y
IDCJAC0001,012029,1903,10,35.8,Y
IDCJAC0001,012029,1903,11,16.8,Y
IDCJAC0001,012029,1903,12,48.3,Y
IDCJAC0001,012029,1904,01,0.0,Y
IDCJAC0001,012029,1904,02,0.0,Y
IDCJAC0001,012029,1904,03,11.9,Y
IDCJAC0001,012029,1904,04,33.3,Y
IDCJAC0001,012029,1904,05,47.0,Y
IDCJAC0001,012029,1904,06,59.4,Y
IDCJAC0001,012029,1904,07,45.7,Y
IDCJAC0001,012029,1904,08,13.7,Y
IDCJAC0001,012029,1904,09,64.0,Y
IDCJAC0001,012029,1904,10,50.0,Y
IDCJAC0001,012029,1904,11,0.0,Y
IDCJAC0001,012029,1904,12,7.9,Y
IDCJAC0001,012029,1905,01,34.3,Y
IDCJAC0001,012029,1905,02,25.4,Y
IDCJAC0001,012029,1905,03,0.0,Y
IDCJAC0001,012029,1905,04,16.0,Y
IDCJAC0001,012029,1905,05,30.5,Y
