Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,029132,1887,01,47.0,Y
IDCJAC0001,029132,1887,02,34.8,Y
IDCJAC0001,029132,1887,03,185.2,Y
IDCJAC0001,029132,1887,04,39.6,Y
IDCJAC0001,029132,1887,05,11.4,Y
IDCJAC0001,029132,1887,06,9.4,Y
IDCJAC0001,029132,1887,07,0.0,Y
IDCJAC0001,029132,1887,08,0.0,Y
IDCJAC0001,029132,1887,09,0.0,Y
IDCJAC0001,029132,1887,10,2.0,Y
IDCJAC0001,029132,1887,11,57.0,Y
IDCJAC0001,029132,1887,12,131.6,Y
IDCJAC0001,029132,1888,01,56.8,Y
IDCJAC0001,029132,1888,02,142.9,Y
IDCJAC0001,029132,1888,03,0.0,Y
IDCJAC0001,029132,1888,04,0.0,Y
IDCJAC0001,029132,1888,05,1.3,Y
IDCJAC0001,029132,1888,06,0.0,Y
IDCJAC0001,029132,1888,07,0.0,Y
IDCJAC0001,029132,1888,08,0.0,Y
IDCJAC0001,029132,1888,09,0.0,Y
IDCJAC0001,029132,1888,10,0.0,Y
IDCJAC0001,029132,1888,11,15.8,Y
IDCJAC0001,029132,1888,12,86.9,Y
IDCJAC0001,029132,1889,01,55.6,Y
IDCJAC0001,029132,1889,02,42.2,Y
IDCJAC0001,029132,1889,03,70.6,Y
IDCJAC0001,029132,1889,04,63.5,Y
IDCJAC0001,029132,1889,05,1.0,Y
IDCJAC0001,029132,1889,06,45.2,Y
IDCJAC0001,029132,1889,07,3.6,Y
IDCJAC0001,029132,1889,08,7.4,Y
IDCJAC0001,029132,1889,09,13.5,Y
IDCJAC0001,029132,1889,10,0.8,Y
IDCJAC0001,029132,1889,11,21.0,Y
IDCJAC0001,029132,1889,12,231.0,Y
IDCJAC0001,029132,1890,01,361.5,Y
IDCJAC0001,029132,1890,02,75.4,Y
IDCJAC0001,029132,1890,03,61.5,Y
IDCJAC0001,029132,1890,04,21.1,Y
IDCJAC0001,029132,1890,05,55.3,Y
IDCJAC0001,029132,1890,06,2.3,Y
IDCJAC0001,029132,1890,07,0.5,Y
IDCJAC0001,029132,1890,08,0.0,Y
IDCJAC0001,029132,1890,09,43.0,Y
IDCJAC0001,029132,1890,10,29.5,Y
IDCJAC0001,029132,1890,11,22.4,Y
IDCJAC0001,029132,1890,12,21.0,Y
IDCJAC0001,029132,1891,01,441.6,Y
IDCJAC0001,029132,1891,02,251.9,Y
IDCJAC0001,029132,1891,03,105.1,Y
IDCJAC0001,029132,1891,04,72.0,Y
