Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,057001,1902,47.5,17.0,48.4,15.1,8.9,22.1,15.2,48.9,23.9,88.5,102.6,127.9,566.0
IDCJAC0001,057001,1903,51.3,95.5,106.4,57.4,65.5,253.9,137.3,97.0,121.9,94.5,107.4,134.7,1322.8
IDCJAC0001,057001,1904,34.6,112.0,66.2,120.6,86.2,23.2,114.1,22.3,37.6,69.4,60.4,74.4,821.0
IDCJAC0001,057001,1905,109.5,115.8,99.1,135.7,69.6,20.3,12.9,27.3,7.1,47.8,40.5,139.2,824.8
IDCJAC0001,057001,1906,144.8,55.9,89.4,55.9,51.9,17.4,10.4,104.5,73.9,68.8,60.7,39.6,773.2
IDCJAC0001,057001,1913,null,null,51.1,172.5,178.0,128.7,16.4,9.2,48.5,78.8,15.5,84.3,null
IDCJAC0001,057001,1914,101.2,41.5,193.9,4.1,63.2,135.8,30.2,21.0,29.7,186.0,113.3,199.0,1118.9
IDCJAC0001,057001,1915,42.7,59.9,0.5,81.9,71.6,23.7,39.9,28.0,32.1,14.7,17.5,126.9,539.4
IDCJAC0001,057001,1916,88.7,139.0,40.2,103.5,147.2,29.8,48.6,51.7,26.7,66.3,89.9,140.7,972.3
IDCJAC0001,057001,1917,196.5,78.8,39.9,23.8,32.8,22.2,11.4,20.2,95.6,76.0,294.9,102.4,994.5
IDCJAC0001,057001,1918,188.4,61.8,67.5,68.7,28.3,24.1,32.8,34.1,22.8,33.5,73.5,35.8,671.3
IDCJAC0001,057001,1919,124.6,77.9,161.1,90.5,175.1,null,null,null,null,null,null,null,null
IDCJAC0001,057001,1921,72.2,55.8,104.9,47.5,220.3,145.9,306.3,17.0,110.5,96.5,70.4,228.1,1475.4
IDCJAC0001,057001,1922,30.7,151.8,21.6,21.8,22.3,33.0,76.0,80.7,71.1,58.1,90.2,111.8,769.1
IDCJAC0001,057001,1923,71.2,42.4,50.0,54.9,2.5,45.2,16.3,39.9,61.4,64.1,19.6,71.6,539.1
IDCJAC0001,057001,1924,64.7,86.7,19.1,76.0,0.0,61.9,110.5,58.8,30.8,69.4,120.9,88.3,787.1
IDCJAC0001,057001,1925,109.2,71.1,75.5,40.9,108.7,83.5,22.9,67.3,5.3,29.7,125.9,130.5,870.5
IDCJAC0001,057001,1926,185.0,104.2,61.5,48.4,76.6,120.7,109.8,29.4,28.7,8.9,18.0,257.7,1048.9
IDCJAC0001,057001,1927,232.3,26.8,87.1,70.7,0.0,34.5,6.6,0.0,39.8,82.9,73.9,97.5,752.1
IDCJAC0001,057001,1928,188.9,473.7,99.1,null,null,null,null,null,null,null,null,null,null
IDCJAC0001,057001,1929,32.0,359.7,115.7,115.3,13.2,62.5,12.7,52.8,108.7,78.3,47.4,65.5,1063.8
IDCJAC0001,057001,1930,134.9,23.2,182.0,95.3,97.2,122.7,32.7,45.8,22.4,55.9,36.3,25.1,873.5
IDCJAC0001,057001,1931,63.0,88.8,129.2,93.3,85.7,41.9,60.2,5.4,30.4,20.3,74.7,151.5,844.4
IDCJAC0001,057001,1932,105.4,50.4,155.7,98.9,26.7,9.1,51.4,12.7,152.4,52.9,149.7,19.1,884.4
IDCJAC0001,057001,1933,365.3,40.6,31.7,43.9,2.0,100.8,142.2,44.3,54.6,157.5,95.2,102.4,1180.5
IDCJAC0001,057001,1934,97.8,242.2,8.9,77.4,41.9,12.7,110.6,65.6,82.5,67.5,160.2,132.3,1099.6
IDCJAC0001,057001,1935,129.6,69.3,15.9,25.4,36.9,1.5,71.9,10.5,113.8,45.0,22.8,67.4,610.0
IDCJAC0001,057001,1936,114.1,125.7,68.6,31.7,47.5,31.2,42.2,29.0,53.8,5.0,24.1,229.7,802.6
IDCJAC0001,057001,1937,98.1,56.7,146.6,15.5,0.5,113.9,26.9,29.7,33.1,69.2,78.0,85.2,753.4
IDCJAC0001,057001,1938,119.0,155.6,7.6,59.7,84.9,32.5,19.3,57.0,37.3,29.9,131.7,6.4,740.9
IDCJAC0001,057001,1939,93.9,6.4,189.1,47.2,35.6,50.8,15.3,52.8,27.6,40.5,86.1,115.4,760.7
IDCJAC0001,057001,1940,97.7,59.4,105.2,35.3,6.4,35.6,6.4,14.0,16.5,35.3,77.3,131.0,620.1
IDCJAC0001,057001,1941,276.0,41.2,121.3,22.9,15.2,31.8,10.2,2.6,1.3,62.2,60.1,7.1,651.9
IDCJAC0001,057001,1942,75.4,165.1,82.4,22.9,17.8,91.2,63.8,3.8,5.6,202.1,122.8,117.2,970.1
IDCJAC0001,057001,1943,103.5,41.1,22.3,32.1,28.7,24.4,18.9,61.6,38.1,65.2,174.2,163.2,773.3
IDCJAC0001,057001,1944,177.8,26.2,37.1,19.0,31.8,10.1,64.7,206.5,26.6,51.3,42.7,52.2,746.0
IDCJAC0001,057001,1945,156.4,null,null,65.0,51.8,169.4,72.1,22.8,52.6,30.6,98.7,157.8,null
IDCJAC0001,057001,1946,116.1,168.3,217.1,32.6,12.8,3.8,1.8,1.3,78.5,45.0,71.6,72.2,821.1
IDCJAC0001,057001,1947,189.5,191.6,82.6,70.4,26.5,8.9,11.2,37.1,59.4,61.8,126.0,181.2,1046.2
IDCJAC0001,057001,1948,118.1,86.4,90.3,57.2,25.4,205.3,31.3,33.3,50.7,12.7,58.9,64.7,834.3
IDCJAC0001,057001,1949,124.5,163.0,77.0,57.2,43.1,52.1,88.9,158.2,80.0,126.0,109.2,69.8,1149.0
IDCJAC0001,057001,1950,170.2,245.1,57.1,61.6,10.2,438.3,186.0,56.4,75.1,101.7,166.4,68.5,1636.6
IDCJAC0001,057001,1951,110.5,63.6,82.6,15.2,31.8,138.5,21.6,33.0,6.4,0.0,40.6,46.7,590.5
IDCJAC0001,057001,1952,44.6,191.9,43.2,53.9,45.7,74.4,41.9,158.7,40.6,130.8,null,96.9,null
IDCJAC0001,057001,1953,103.1,197.2,77.4,37.4,38.1,0.0,7.4,44.6,3.8,49.4,35.1,45.5,639.0
IDCJAC0001,057001,1954,81.2,245.8,10.7,54.3,28.5,56.1,59.0,48.6,72.2,173.8,83.5,189.1,1102.8
IDCJAC0001,057001,1955,122.1,206.2,69.2,90.9,109.5,14.0,38.8,3.3,19.1,111.4,20.5,98.7,903.7
IDCJAC0001,057001,1956,208.3,253.1,132.8,57.1,82.0,105.6,21.8,5.6,32.5,64.9,16.8,93.5,1074.0
IDCJAC0001,057001,1957,81.5,173.6,65.6,26.8,2.5,15.7,36.7,73.0,3.8,56.7,16.8,117.3,670.0
IDCJAC0001,057001,1958,188.8,131.0,52.0,26.0,27.7,53.3,8.1,69.2,69.3,44.3,41.8,163.3,874.8
IDCJAC0001,057001,1959,387.9,71.4,160.7,27.8,20.4,53.4,64.6,36.6,54.3,101.2,190.7,150.6,1319.6
IDCJAC0001,057001,1960,83.6,90.7,43.1,55.9,39.7,26.1,38.5,14.4,22.3,44.0,51.8,37.6,547.7
IDCJAC0001,057001,1961,58.9,142.3,39.1,52.6,40.9,64.0,51.6,61.6,41.2,109.8,125.9,170.3,958.2
IDCJAC0001,057001,1962,217.8,110.8,109.0,193.7,83.8,0.0,182.4,52.9,48.1,48.9,83.6,161.4,1292.4
IDCJAC0001,057001,1963,143.5,51.2,125.9,89.7,249.5,70.6,20.3,76.1,22.9,72.4,106.8,249.0,1277.9
IDCJAC0001,057001,1964,128.8,94.0,143.1,65.2,42.3,24.0,54.4,38.1,49.6,92.2,94.8,39.0,865.5
IDCJAC0001,057001,1965,142.2,72.8,7.6,49.8,25.7,42.3,169.4,20.1,31.2,48.4,80.9,205.1,895.5
IDCJAC0001,057001,1966,50.3,80.9,48.3,45.7,48.5,40.6,8.7,116.7,41.0,117.3,114.5,107.6,820.1
IDCJAC0001,057001,1967,234.9,88.9,135.9,48.9,35.1,329.8,31.5,43.7,48.0,161.3,32.3,81.5,1271.8
IDCJAC0001,057001,1968,373.7,30.4,116.2,11.7,55.2,3.0,28.0,140.6,24.2,33.0,62.8,91.0,969.8
IDCJAC0001,057001,1969,161.0,138.1,47.7,54.6,89.9,70.7,19.0,130.9,57.2,119.2,134.7,145.2,1168.2
IDCJAC0001,057001,1970,179.8,74.4,120.7,40.7,11.8,22.6,0.0,31.4,139.9,82.8,71.9,213.9,989.9
IDCJAC0001,057001,1971,219.2,217.2,67.0,19.6,26.7,63.1,60.5,48.7,69.5,16.2,94.7,191.3,1093.7
IDCJAC0001,057001,1972,261.5,77.9,77.7,46.7,32.6,40.6,0.0,43.6,63.5,275.1,128.2,162.9,1210.3
IDCJAC0001,057001,1973,116.6,162.4,16.3,20.1,27.7,29.7,150.8,19.6,39.1,107.1,146.3,228.4,1064.1
IDCJAC0001,057001,1974,225.3,26.6,12.4,117.7,78.2,67.4,16.7,76.2,12.0,57.4,126.8,53.8,870.5
IDCJAC0001,057001,1975,38.0,104.7,69.0,27.0,9.0,74.8,23.8,20.2,71.4,85.8,174.0,174.1,871.8
IDCJAC0001,057001,1976,129.4,205.0,137.6,9.2,37.5,190.0,46.5,21.0,57.8,54.4,83.6,40.8,1012.8
IDCJAC0001,057001,1977,101.4,201.6,137.6,54.6,146.0,55.2,13.2,24.0,44.0,43.0,83.0,79.2,982.8
IDCJAC0001,057001,1978,278.9,71.0,186.2,79.6,69.0,85.0,28.0,31.0,53.6,39.0,63.0,112.0,1096.3
IDCJAC0001,057001,1979,96.2,12.6,109.9,17.6,63.0,74.2,22.6,15.2,16.0,60.6,111.6,36.6,636.1
IDCJAC0001,057001,1980,137.4,22.4,35.6,11.0,203.0,11.4,18.2,6.0,1.2,72.2,28.4,87.2,634.0
IDCJAC0001,057001,1981,26.2,214.6,24.6,119.5,94.6,20.6,48.8,13.8,29.8,77.0,118.6,156.6,944.7
IDCJAC0001,057001,1983,110.4,105.2,66.6,131.0,151.4,56.8,48.0,47.0,40.4,117.0,92.2,179.4,1145.4
IDCJAC0001,057001,1984,136.2,181.0,71.2,129.0,26.6,36.6,98.6,14.0,23.0,18.6,73.8,56.8,865.4
IDCJAC0001,057001,1985,50.2,50.8,52.5,77.7,83.9,33.2,188.0,44.9,51.4,119.8,77.6,169.6,999.6
IDCJAC0001,057001,1986,66.8,118.6,40.2,14.2,46.8,14.6,60.2,64.8,46.0,48.8,190.8,45.4,757.2
IDCJAC0001,057001,1987,184.1,37.6,90.5,15.2,89.4,36.6,44.6,119.8,11.4,63.6,102.0,97.3,892.1
IDCJAC0001,057001,1988,183.6,29.4,40.0,265.4,38.0,74.0,88.8,52.2,98.6,19.4,45.4,173.6,1108.4
IDCJAC0001,057001,1989,118.6,80.8,159.2,292.6,53.6,105.2,60.2,8.8,10.4,36.0,134.2,146.6,1206.2
IDCJAC0001,057001,1990,109.2,217.0,46.8,213.3,99.6,36.2,91.2,38.0,94.2,39.8,32.4,103.2,1120.9
IDCJAC0001,057001,1991,243.0,139.4,60.1,10.8,48.4,49.6,64.4,4.8,10.2,33.2,62.0,167.4,893.3
IDCJAC0001,057001,1992,121.8,184.2,10.8,117.0,39.2,23.0,28.8,24.6,18.2,58.6,100.8,159.0,886.0
IDCJAC0001,057001,1993,269.8,102.8,74.4,9.2,10.6,34.6,81.4,55.2,38.4,54.5,42.0,127.8,900.7
IDCJAC0001,057001,1994,73.6,177.8,87.6,17.0,19.8,23.0,13.2,21.2,21.6,26.2,105.8,150.4,737.2
IDCJAC0001,057001,1995,103.8,134.6,64.8,21.8,61.8,46.8,7.0,2.4,69.9,52.2,119.2,89.6,773.9
IDCJAC0001,057001,1996,297.4,111.6,53.4,27.4,209.5,48.4,45.2,63.0,65.6,46.0,111.0,172.0,1250.5
IDCJAC0001,057001,1997,80.4,248.8,73.8,16.8,74.4,32.8,12.9,8.6,80.2,81.8,148.4,176.5,1035.4
IDCJAC0001,057001,1998,56.3,82.4,16.0,64.2,74.0,54.2,111.6,82.8,116.0,51.0,76.0,50.6,835.1
