Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,031033,1927,01,303.0,Y
IDCJAC0001,031033,1927,02,683.0,Y
IDCJAC0001,031033,1927,03,101.9,Y
IDCJAC0001,031033,1927,04,152.2,Y
IDCJAC0001,031033,1927,05,60.2,Y
IDCJAC0001,031033,1927,06,71.9,Y
IDCJAC0001,031033,1927,07,42.4,Y
IDCJAC0001,031033,1927,08,4.6,Y
IDCJAC0001,031033,1927,09,13.5,Y
IDCJAC0001,031033,1927,10,25.2,Y
IDCJAC0001,031033,1927,11,0.0,Y
IDCJAC0001,031033,1927,12,83.9,Y
IDCJAC0001,031033,1928,01,107.3,Y
IDCJAC0001,031033,1928,02,536.0,Y
IDCJAC0001,031033,1928,03,179.0,Y
IDCJAC0001,031033,1928,04,22.4,Y
IDCJAC0001,031033,1928,05,31.8,Y
IDCJAC0001,031033,1928,06,18.3,Y
IDCJAC0001,031033,1928,07,17.0,Y
IDCJAC0001,031033,1928,08,4.6,Y
IDCJAC0001,031033,1928,09,3.0,Y
IDCJAC0001,031033,1928,10,4.3,Y
IDCJAC0001,031033,1928,11,147.6,Y
IDCJAC0001,031033,1928,12,75.2,Y
IDCJAC0001,031033,1929,01,460.1,Y
IDCJAC0001,031033,1929,02,485.9,Y
IDCJAC0001,031033,1929,03,285.5,Y
IDCJAC0001,031033,1929,04,129.5,Y
IDCJAC0001,031033,1929,05,4.8,Y
IDCJAC0001,031033,1929,06,42.2,Y
IDCJAC0001,031033,1929,07,7.5,Y
IDCJAC0001,031033,1929,08,6.8,Y
IDCJAC0001,031033,1929,09,3.0,Y
IDCJAC0001,031033,1929,10,1.5,Y
IDCJAC0001,031033,1929,11,38.6,Y
IDCJAC0001,031033,1929,12,65.0,Y
IDCJAC0001,031033,1930,01,852.4,Y
IDCJAC0001,031033,1930,02,401.4,Y
IDCJAC0001,031033,1930,03,71.1,Y
IDCJAC0001,031033,1930,04,33.2,Y
IDCJAC0001,031033,1930,05,74.7,Y
IDCJAC0001,031033,1930,06,51.5,Y
IDCJAC0001,031033,1930,07,11.2,Y
IDCJAC0001,031033,1930,08,2.8,Y
IDCJAC0001,031033,1930,09,7.6,Y
IDCJAC0001,031033,1930,10,118.7,Y
IDCJAC0001,031033,1930,11,35.7,Y
IDCJAC0001,031033,1930,12,167.2,Y
IDCJAC0001,031033,1931,01,781.6,Y
IDCJAC0001,031033,1931,02,78.0,Y
IDCJAC0001,031033,1931,03,154.4,Y
IDCJAC0001,031033,1931,04,40.7,Y
IDCJAC0001,031033,1931,05,37.6,Y
IDCJAC0001,031033,1931,06,58.3,Y
IDCJAC0001,031033,1931,07,8.4,Y
IDCJAC0001,031033,1931,08,26.3,Y
IDCJAC0001,031033,1931,09,11.1,Y
IDCJAC0001,031033,1931,10,55.9,Y
IDCJAC0001,031033,1931,11,67.0,Y
IDCJAC0001,031033,1931,12,163.3,Y
IDCJAC0001,031033,1932,01,628.7,Y
IDCJAC0001,031033,1932,02,64.7,Y
IDCJAC0001,031033,1932,03,279.6,Y
IDCJAC0001,031033,1932,04,3.8,Y
IDCJAC0001,031033,1932,05,158.1,Y
IDCJAC0001,031033,1932,06,9.9,Y
IDCJAC0001,031033,1932,07,16.6,Y
IDCJAC0001,031033,1932,08,32.3,Y
IDCJAC0001,031033,1932,09,11.7,Y
IDCJAC0001,031033,1932,10,0.0,Y
IDCJAC0001,031033,1932,11,17.6,Y
