Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,007134,1914,11,46.5,Y
IDCJAC0001,007134,1914,12,96.1,Y
IDCJAC0001,007134,1915,01,149.4,Y
IDCJAC0001,007134,1915,02,123.9,Y
IDCJAC0001,007134,1915,03,5.5,Y
IDCJAC0001,007134,1915,04,14.7,Y
IDCJAC0001,007134,1915,05,83.4,Y
IDCJAC0001,007134,1915,06,51.5,Y
IDCJAC0001,007134,1915,07,0.0,Y
IDCJAC0001,007134,1915,08,0.0,Y
IDCJAC0001,007134,1915,09,0.0,Y
IDCJAC0001,007134,1915,10,0.0,Y
IDCJAC0001,007134,1915,11,3.0,Y
IDCJAC0001,007134,1915,12,0.0,Y
IDCJAC0001,007134,1916,01,15.2,Y
IDCJAC0001,007134,1916,02,40.6,Y
IDCJAC0001,007134,1916,03,75.7,Y
IDCJAC0001,007134,1916,04,0.0,Y
IDCJAC0001,007134,1916,05,42.7,Y
IDCJAC0001,007134,1916,06,99.9,Y
IDCJAC0001,007134,1916,07,0.0,Y
IDCJAC0001,007134,1916,08,0.0,Y
IDCJAC0001,007134,1916,09,12.7,Y
IDCJAC0001,007134,1916,10,15.2,Y
IDCJAC0001,007134,1916,11,0.0,Y
IDCJAC0001,007134,1916,12,0.0,Y
IDCJAC0001,007134,1917,01,0.0,Y
IDCJAC0001,007134,1917,02,0.0,Y
IDCJAC0001,007134,1917,03,114.0,Y
IDCJAC0001,007134,1917,04,0.0,Y
IDCJAC0001,007134,1917,05,0.0,Y
IDCJAC0001,007134,1917,06,19.8,Y
IDCJAC0001,007134,1917,07,11.2,Y
IDCJAC0001,007134,1917,08,20.4,Y
IDCJAC0001,007134,1917,09,0.0,Y
IDCJAC0001,007134,1917,10,0.0,Y
IDCJAC0001,007134,1917,11,0.0,Y
IDCJAC0001,007134,1917,12,0.0,Y
IDCJAC0001,007134,1918,01,34.6,Y
IDCJAC0001,007134,1918,02,43.7,Y
IDCJAC0001,007134,1918,03,34.3,Y
IDCJAC0001,007134,1918,04,46.0,Y
IDCJAC0001,007134,1918,05,4.3,Y
IDCJAC0001,007134,1918,06,10.2,Y
IDCJAC0001,007134,1918,07,10.4,Y
IDCJAC0001,007134,1918,08,0.0,Y
IDCJAC0001,007134,1918,09,0.0,Y
IDCJAC0001,007134,1918,10,0.0,Y
IDCJAC0001,007134,1918,11,0.0,Y
IDCJAC0001,007134,1918,12,0.0,Y
IDCJAC0001,007134,1919,01,0.0,Y
IDCJAC0001,007134,1919,02,0.0,Y
IDCJAC0001,007134,1919,03,0.0,Y
IDCJAC0001,007134,1919,04,0.0,Y
IDCJAC0001,007134,1919,05,0.0,Y
IDCJAC0001,007134,1919,06,0.0,Y
IDCJAC0001,007134,1919,07,0.0,Y
IDCJAC0001,007134,1919,08,54.4,Y
IDCJAC0001,007134,1919,09,9.7,Y
IDCJAC0001,007134,1919,10,21.3,Y
IDCJAC0001,007134,1919,11,37.3,Y
IDCJAC0001,007134,1919,12,0.0,Y
IDCJAC0001,007134,1920,01,8.1,Y
IDCJAC0001,007134,1920,02,10.2,Y
