Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,005045,1913,0.0,8.7,46.8,0.0,0.0,31.9,19.8,5.3,7.1,0.0,0.0,0.0,119.6
IDCJAC0001,005045,1914,27.9,0.0,0.0,43.7,0.0,0.0,16.5,7.4,0.0,0.0,0.0,0.0,95.5
IDCJAC0001,005045,1915,42.6,130.3,33.1,0.0,4.5,59.2,4.3,0.0,0.0,0.0,0.0,5.8,279.8
IDCJAC0001,005045,1916,42.1,58.6,43.6,0.0,11.1,81.6,1.8,0.0,0.0,20.3,0.0,0.0,259.1
IDCJAC0001,005045,1917,49.0,0.0,49.1,0.0,30.3,29.7,1.5,0.0,0.0,0.0,0.0,0.0,159.6
IDCJAC0001,005045,1918,10.1,329.2,0.0,0.0,125.5,0.0,9.4,0.0,0.0,0.0,0.0,0.0,474.2
IDCJAC0001,005045,1919,0.0,0.0,9.1,2.5,0.0,4.1,0.0,15.7,0.0,0.0,6.9,4.1,42.4
IDCJAC0001,005045,1920,11.0,44.0,55.9,64.1,4.3,18.1,8.9,18.7,14.0,0.0,0.0,6.4,245.4
IDCJAC0001,005045,1921,0.0,176.8,82.3,16.5,null,null,null,null,null,null,null,null,null
IDCJAC0001,005045,1922,0.0,0.0,29.0,null,null,null,null,null,null,null,null,null,null
IDCJAC0001,005045,1923,90.9,29.7,122.4,208.0,13.9,30.3,18.1,2.5,0.0,0.0,0.8,0.0,516.6
IDCJAC0001,005045,1924,0.0,38.1,0.0,13.9,2.8,58.1,25.7,0.0,0.0,0.0,0.0,0.0,138.6
IDCJAC0001,005045,1925,5.3,63.1,1.8,0.0,65.5,20.4,0.0,0.0,0.0,0.0,0.0,0.0,156.1
IDCJAC0001,005045,1926,0.0,79.5,18.5,0.0,40.8,0.0,0.0,0.0,0.0,0.0,0.0,18.6,157.4
IDCJAC0001,005045,1927,11.9,0.0,122.2,0.0,31.8,155.7,27.5,null,null,null,null,null,null
IDCJAC0001,005045,1928,37.1,null,null,null,null,null,null,null,null,null,null,null,null
IDCJAC0001,005045,1949,0.0,121.5,6.6,10.9,210.6,52.8,2.3,18.0,6.8,0.0,39.4,12.6,481.5
IDCJAC0001,005045,1950,4.6,2.5,1.5,0.0,82.6,50.0,11.9,1.3,0.0,0.0,8.4,0.0,162.8
IDCJAC0001,005045,1951,0.0,19.1,15.5,4.8,0.0,169.7,16.6,1.5,0.0,0.0,0.0,0.0,227.2
IDCJAC0001,005045,1952,10.2,97.8,0.0,1.3,105.5,1.3,94.0,0.0,0.0,0.0,0.0,0.0,310.1
IDCJAC0001,005045,1953,0.0,0.0,333.2,8.1,106.4,43.5,26.6,12.6,0.0,3.8,0.0,0.0,534.2
IDCJAC0001,005045,1954,55.4,0.0,0.0,0.0,23.9,70.2,3.6,12.2,0.0,0.0,1.8,5.8,172.9
IDCJAC0001,005045,1955,12.3,47.5,0.0,0.0,65.7,3.8,0.0,0.0,0.0,0.0,0.0,0.0,129.3
IDCJAC0001,005045,1956,14.0,10.2,156.4,12.5,3.0,48.7,1.3,37.4,5.6,1.3,0.0,0.0,290.4
IDCJAC0001,005045,1957,24.6,87.6,19.8,0.0,115.1,139.4,12.9,26.4,1.3,0.0,0.0,0.0,427.1
