Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,060030,1881,10,36.6,Y
IDCJAC0001,060030,1881,11,49.2,Y
IDCJAC0001,060030,1881,12,54.8,Y
IDCJAC0001,060030,1882,01,21.6,Y
IDCJAC0001,060030,1882,02,129.5,Y
IDCJAC0001,060030,1882,03,52.1,Y
IDCJAC0001,060030,1882,04,46.3,Y
IDCJAC0001,060030,1882,05,99.2,Y
IDCJAC0001,060030,1882,06,144.7,Y
IDCJAC0001,060030,1882,07,38.6,Y
IDCJAC0001,060030,1882,08,35.8,Y
IDCJAC0001,060030,1882,09,11.2,Y
IDCJAC0001,060030,1882,10,108.0,Y
IDCJAC0001,060030,1882,11,51.9,Y
IDCJAC0001,060030,1882,12,52.0,Y
IDCJAC0001,060030,1883,01,125.1,Y
IDCJAC0001,060030,1883,02,169.4,Y
IDCJAC0001,060030,1883,03,38.9,Y
IDCJAC0001,060030,1883,04,123.1,Y
IDCJAC0001,060030,1883,05,339.2,Y
IDCJAC0001,060030,1883,06,31.7,Y
IDCJAC0001,060030,1883,07,60.9,Y
IDCJAC0001,060030,1883,08,56.5,Y
IDCJAC0001,060030,1883,09,47.1,Y
IDCJAC0001,060030,1883,10,80.8,Y
IDCJAC0001,060030,1883,11,39.5,Y
IDCJAC0001,060030,1883,12,45.6,Y
IDCJAC0001,060030,1884,01,19.7,Y
IDCJAC0001,060030,1884,02,24.4,Y
IDCJAC0001,060030,1884,03,2.7,Y
IDCJAC0001,060030,1884,04,136.1,Y
IDCJAC0001,060030,1884,05,107.2,Y
IDCJAC0001,060030,1884,06,65.4,Y
IDCJAC0001,060030,1884,07,321.3,Y
IDCJAC0001,060030,1884,08,6.9,Y
IDCJAC0001,060030,1884,09,49.2,Y
IDCJAC0001,060030,1884,10,77.0,Y
IDCJAC0001,060030,1884,11,57.4,Y
IDCJAC0001,060030,1884,12,20.8,Y
IDCJAC0001,060030,1885,01,68.8,Y
IDCJAC0001,060030,1885,02,82.7,Y
IDCJAC0001,060030,1885,03,36.1,Y
IDCJAC0001,060030,1885,04,104.7,Y
IDCJAC0001,060030,1885,05,45.8,Y
IDCJAC0001,060030,1885,06,100.1,Y
IDCJAC0001,060030,1885,07,91.0,Y
IDCJAC0001,060030,1885,08,12.3,Y
IDCJAC0001,060030,1885,09,27.8,Y
IDCJAC0001,060030,1885,10,61.9,Y
IDCJAC0001,060030,1885,11,16.5,Y
IDCJAC0001,060030,1885,12,128.0,Y
IDCJAC0001,060030,1886,01,125.4,Y
IDCJAC0001,060030,1886,02,44.3,Y
IDCJAC0001,060030,1886,03,26.2,Y
IDCJAC0001,060030,1886,04,59.7,Y
IDCJAC0001,060030,1886,05,65.0,Y
IDCJAC0001,060030,1886,06,26.7,Y
IDCJAC0001,060030,1886,07,180.7,Y
IDCJAC0001,060030,1886,08,33.6,Y
IDCJAC0001,060030,1886,09,60.1,Y
IDCJAC0001,060030,1886,10,33.0,Y
IDCJAC0001,060030,1886,11,149.4,Y
IDCJAC0001,060030,1886,12,125.2,Y
IDCJAC0001,060030,1887,01,90.0,Y
IDCJAC0001,060030,1887,02,455.2,Y
IDCJAC0001,060030,1887,03,220.3,Y
IDCJAC0001,060030,1887,04,384.3,Y
IDCJAC0001,060030,1887,05,68.6,Y
IDCJAC0001,060030,1887,06,61.1,Y
IDCJAC0001,060030,1887,07,51.7,Y
IDCJAC0001,060030,1887,08,178.1,Y
IDCJAC0001,060030,1887,09,46.6,Y
IDCJAC0001,060030,1887,10,16.4,Y
IDCJAC0001,060030,1887,11,123.3,Y
IDCJAC0001,060030,1887,12,329.5,Y
IDCJAC0001,060030,1888,01,40.5,Y
IDCJAC0001,060030,1888,02,293.0,Y
IDCJAC0001,060030,1888,03,13.4,Y
IDCJAC0001,060030,1888,04,23.6,Y
IDCJAC0001,060030,1888,05,9.7,Y
IDCJAC0001,060030,1888,06,71.9,Y
IDCJAC0001,060030,1890,03,363.0,Y
IDCJAC0001,060030,1890,04,72.4,Y
IDCJAC0001,060030,1890,05,166.1,Y
IDCJAC0001,060030,1890,06,55.9,Y
IDCJAC0001,060030,1890,07,163.1,Y
IDCJAC0001,060030,1890,08,25.4,Y
IDCJAC0001,060030,1890,09,28.4,Y
IDCJAC0001,060030,1890,10,10.4,Y
IDCJAC0001,060030,1890,11,42.9,Y
IDCJAC0001,060030,1890,12,46.2,Y
IDCJAC0001,060030,1891,01,102.4,Y
IDCJAC0001,060030,1891,02,79.0,Y
IDCJAC0001,060030,1891,03,123.7,Y
IDCJAC0001,060030,1891,04,29.7,Y
IDCJAC0001,060030,1891,05,48.8,Y
IDCJAC0001,060030,1891,06,209.3,Y
IDCJAC0001,060030,1891,07,45.0,Y
IDCJAC0001,060030,1891,08,71.6,Y
IDCJAC0001,060030,1891,09,41.9,Y
IDCJAC0001,060030,1891,10,10.2,Y
IDCJAC0001,060030,1891,11,166.1,Y
IDCJAC0001,060030,1891,12,132.1,Y
IDCJAC0001,060030,1892,01,106.4,Y
IDCJAC0001,060030,1892,02,475.7,Y
IDCJAC0001,060030,1892,03,356.6,Y
IDCJAC0001,060030,1892,04,291.1,Y
IDCJAC0001,060030,1892,05,29.2,Y
IDCJAC0001,060030,1892,06,24.6,Y
IDCJAC0001,060030,1892,07,21.9,Y
IDCJAC0001,060030,1892,08,77.8,Y
IDCJAC0001,060030,1892,09,17.8,Y
IDCJAC0001,060030,1892,10,121.6,Y
IDCJAC0001,060030,1892,11,177.8,Y
IDCJAC0001,060030,1892,12,342.4,Y
IDCJAC0001,060030,1893,01,31.7,Y
IDCJAC0001,060030,1893,02,223.1,Y
