Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,009573,1915,11,42.2,Y
IDCJAC0001,009573,1915,12,6.1,Y
IDCJAC0001,009573,1916,01,41.3,Y
IDCJAC0001,009573,1916,02,22.9,Y
IDCJAC0001,009573,1916,03,7.6,Y
IDCJAC0001,009573,1916,04,42.7,Y
IDCJAC0001,009573,1916,05,122.5,Y
IDCJAC0001,009573,1916,06,141.3,Y
IDCJAC0001,009573,1916,07,197.8,Y
IDCJAC0001,009573,1916,08,237.4,Y
IDCJAC0001,009573,1916,09,23.9,Y
IDCJAC0001,009573,1916,10,117.5,Y
IDCJAC0001,009573,1916,11,57.2,Y
IDCJAC0001,009573,1916,12,12.0,Y
IDCJAC0001,009573,1917,01,27.2,Y
IDCJAC0001,009573,1917,02,64.3,Y
IDCJAC0001,009573,1917,03,63.3,Y
IDCJAC0001,009573,1917,04,67.2,Y
IDCJAC0001,009573,1917,05,240.0,Y
IDCJAC0001,009573,1917,06,331.9,Y
IDCJAC0001,009573,1917,07,259.9,Y
IDCJAC0001,009573,1917,08,225.6,Y
IDCJAC0001,009573,1917,09,256.5,Y
IDCJAC0001,009573,1917,10,143.0,Y
IDCJAC0001,009573,1917,11,4.6,Y
IDCJAC0001,009573,1917,12,77.7,Y
IDCJAC0001,009573,1918,01,60.3,Y
IDCJAC0001,009573,1918,02,93.8,Y
IDCJAC0001,009573,1918,03,33.0,Y
IDCJAC0001,009573,1918,04,62.3,Y
IDCJAC0001,009573,1918,05,235.2,Y
IDCJAC0001,009573,1918,06,216.6,Y
IDCJAC0001,009573,1918,07,42.7,Y
IDCJAC0001,009573,1918,08,161.0,Y
IDCJAC0001,009573,1918,09,130.4,Y
IDCJAC0001,009573,1918,10,88.2,Y
IDCJAC0001,009573,1918,11,17.1,Y
IDCJAC0001,009573,1918,12,11.1,Y
IDCJAC0001,009573,1919,01,10.7,Y
IDCJAC0001,009573,1919,02,28.4,Y
IDCJAC0001,009573,1919,03,18.2,Y
IDCJAC0001,009573,1919,04,66.8,Y
IDCJAC0001,009573,1919,05,74.9,Y
IDCJAC0001,009573,1919,06,121.6,Y
IDCJAC0001,009573,1919,07,196.8,Y
IDCJAC0001,009573,1919,08,168.2,Y
IDCJAC0001,009573,1919,09,77.9,Y
IDCJAC0001,009573,1919,10,87.9,Y
IDCJAC0001,009573,1919,11,58.8,Y
IDCJAC0001,009573,1919,12,6.4,Y
IDCJAC0001,009573,1920,01,3.8,Y
IDCJAC0001,009573,1920,02,22.1,Y
IDCJAC0001,009573,1920,03,27.7,Y
IDCJAC0001,009573,1920,04,21.1,Y
IDCJAC0001,009573,1920,05,148.8,Y
IDCJAC0001,009573,1920,06,281.7,Y
IDCJAC0001,009573,1920,07,187.2,Y
IDCJAC0001,009573,1920,08,309.7,Y
IDCJAC0001,009573,1920,09,52.2,Y
IDCJAC0001,009573,1920,10,27.9,Y
IDCJAC0001,009573,1920,11,17.8,Y
IDCJAC0001,009573,1920,12,15.3,Y
IDCJAC0001,009573,1921,01,19.0,Y
IDCJAC0001,009573,1921,02,71.9,Y
IDCJAC0001,009573,1921,03,37.2,Y
IDCJAC0001,009573,1921,04,85.8,Y
IDCJAC0001,009573,1921,05,130.8,Y
IDCJAC0001,009573,1921,06,104.2,Y
IDCJAC0001,009573,1921,07,179.9,Y
IDCJAC0001,009573,1921,08,112.7,Y
IDCJAC0001,009573,1921,09,122.2,Y
IDCJAC0001,009573,1921,10,107.4,Y
IDCJAC0001,009573,1921,11,59.7,Y
IDCJAC0001,009573,1921,12,25.4,Y
IDCJAC0001,009573,1922,01,14.7,Y
IDCJAC0001,009573,1922,02,21.6,Y
IDCJAC0001,009573,1922,03,19.6,Y
IDCJAC0001,009573,1922,04,44.6,Y
IDCJAC0001,009573,1922,05,98.9,Y
IDCJAC0001,009573,1922,06,86.1,Y
IDCJAC0001,009573,1922,07,242.0,Y
IDCJAC0001,009573,1922,08,198.1,Y
IDCJAC0001,009573,1922,09,88.8,Y
IDCJAC0001,009573,1922,10,59.9,Y
IDCJAC0001,009573,1922,11,58.2,Y
IDCJAC0001,009573,1922,12,71.3,Y
IDCJAC0001,009573,1923,01,28.9,Y
IDCJAC0001,009573,1923,02,5.1,Y
IDCJAC0001,009573,1923,03,43.4,Y
IDCJAC0001,009573,1923,04,72.6,Y
IDCJAC0001,009573,1923,05,229.3,Y
IDCJAC0001,009573,1923,06,298.0,Y
IDCJAC0001,009573,1923,07,156.0,Y
IDCJAC0001,009573,1923,08,132.6,Y
IDCJAC0001,009573,1923,09,220.9,Y
IDCJAC0001,009573,1923,10,26.4,Y
IDCJAC0001,009573,1923,11,31.8,Y
IDCJAC0001,009573,1923,12,0.0,Y
IDCJAC0001,009573,1924,01,13.0,Y
IDCJAC0001,009573,1924,02,9.6,Y
IDCJAC0001,009573,1924,03,6.1,Y
IDCJAC0001,009573,1924,04,8.6,Y
IDCJAC0001,009573,1924,05,220.8,Y
IDCJAC0001,009573,1924,06,138.5,Y
IDCJAC0001,009573,1924,07,144.5,Y
IDCJAC0001,009573,1924,08,173.1,Y
IDCJAC0001,009573,1924,09,96.8,Y
IDCJAC0001,009573,1924,10,165.4,Y
IDCJAC0001,009573,1924,11,83.7,Y
IDCJAC0001,009573,1924,12,7.1,Y
IDCJAC0001,009573,1925,01,44.0,Y
IDCJAC0001,009573,1925,02,21.8,Y
IDCJAC0001,009573,1925,03,25.1,Y
