,January,February,March,April,May,June,July,August,September,October,November,December,Latitude,Longitude
AU_72000,0.07090815425375332,0.15482374768089066,-0.03712812960235644,-0.051111111111111045,-0.013721804511278296,-0.1807200929152149,0.11781156156156158,0.10835913312693479,0.10689655172413773,-0.02896057347670261,0.3068965517241379,0.16136363636363632,-35.31,148.06
AU_72004,0.0625,0.13333333333333328,-0.16717948717948716,-0.25129145408163267,-0.14230769230769227,-0.5813067150635208,-0.10666666666666692,0.0,-0.013697916666666633,-0.19999999999999996,0.30873015873015874,0.055789473684210646,-35.52,148.15
AU_720024,0.04023809523809529,0.05294117647058829,-0.09228740936058008,-0.25668402777777766,-0.03645245332175423,0.3795395081109366,0.10980861244019141,0.15213675213675226,0.008703703703703828,-0.5044089147286821,-0.08555555555555537,0.2928571428571427,-35.5,147.77
AU_72042,0.033333333333333215,0.11213235294117646,-0.053066332916145244,-0.030690737833594987,0.017685382610755723,-0.16153846153846152,0.013612969634585605,-0.02975961538461547,0.008333333333333255,-0.07037578757875781,0.16190476190476183,0.07916666666666676,-35.28,147.74
AU_72044,0.11972617546388038,0.08467776355100305,-0.07999999999999971,-0.11656862745098037,-0.07795138888888906,-0.21209508881922673,0.05694444444444437,0.03333333333333279,0.03867521367521356,-0.003614457831325267,0.36470588235294116,0.1555555555555562,-35.3,148.21
AU_72154,-0.08421052631578956,0.0705882352941176,0.07647058823529417,-0.16470588235294123,0.03650793650793652,0.24,0.2390804597701149,0.014583333333333393,0.1913043478260869,-0.18493150684931506,0.2755102040816326,0.21176470588235283,-35.22,148.03
AU_73019,0.02812500000000004,0.025809435707678022,-0.09329004329004328,-0.11936607453848833,-0.058759590792838864,-0.18085106382978725,-0.043223443223443306,-0.05838221673355982,-0.0356578947368421,-0.1049578482537134,0.09258241758241753,0.002775693923480885,-34.85,147.57
AU_73025,0.09411764705882353,0.09614814814814815,0.019999999999999993,-0.028571428571428525,0.039356884057971005,-0.027770204479065263,0.0938262195121951,0.08631578947368422,0.06813346228239847,0.0036811201445348307,0.17320538384845463,0.0831140350877193,-34.79,147.56
AU_73029,-0.03544303797468355,0.045652173913043506,-0.04583333333333333,-0.13041039671682625,-0.06768049155145926,-0.3674794359576967,-0.13403474903474907,-0.03545747582444829,-0.16440092165898618,-0.08115427302996671,0.012499999999999983,-0.08551077788191186,-34.55,148.35
AU_73124,0.05221801591923897,0.13933982683982682,0.03412698412698435,0.001298701298701271,0.10438095238095238,-0.09565217391304329,0.12333333333333331,0.06041666666666664,0.07941176470588229,-0.028846153846153848,0.09782608695652174,0.12099143206854349,-34.93,147.77
AU_74126,0.14411764705882352,0.15007119126720456,0.1378968253968254,0.12222560975609756,0.12902777777777782,0.15517241379310345,0.2297887323943662,0.1627599486521181,0.251109688433632,0.037037037037037035,0.3111111111111111,0.28478260869565236,-35.39,147.06
AU_63007,-0.32709790209790224,0.14776119402985075,0.024999999999999994,-0.1271186440677966,-0.027619047619047606,0.1676470588235294,0.11492063492063481,0.2934057971014493,0.1116883116883118,0.007019704433497514,0.07307692307692316,-0.01874999999999997,-34.32,149.36
AU_63022,0.1393939393939392,0.14899341850561365,0.0,-0.07800878972278566,0.05510204081632659,-0.13333333333333308,0.0452707856598017,0.019230769230769232,0.027692307692307704,-0.0029273504273504168,0.1418979744936234,0.022222222222222275,-33.8,148.7
AU_63029,0.04919908466819224,0.27013513513513515,-0.04948979591836733,-0.09707130730050934,0.026470588235294145,-0.06461009174311932,-0.008421052631578918,0.17249999999999996,0.14034679089026908,0.0,0.3368993135011441,0.16666666666666663,-33.74,149.1
AU_63032,0.07752525252525261,0.19711498547114983,-0.0069787131107885685,-0.13103349828701943,0.0469879518072289,-0.18444444444444438,-0.11219512195121954,-0.012941801753919778,0.02307692307692313,0.04536799315361571,0.1496478873239437,0.044736842105263235,-34.28,149.67
AU_63083,0.05555555555555555,0.31232183908045985,-0.029679679679679737,-0.10795454545454546,0.005454545454545403,-0.13749999999999987,-0.18300000000000013,0.09776182432432429,0.06419413919413919,0.0031746031746032197,0.13749999999999987,0.11891771019678009,-33.82,149.32
AU_63094,0.049206349206349115,0.3244047619047619,0.006594202898550818,-0.03260869565217391,0.06809090909090901,-0.10851449275362317,0.08823529411764706,0.169511217948718,0.11656862745098032,-0.012244897959183702,0.3505153565851119,0.07405913978494622,-34.0,149.12
AU_63267,-0.10000000000000006,0.24705882352941166,-0.02820512820512824,-0.3865384615384615,-0.20081967213114765,-0.008333333333333156,0.07297297297297267,0.020833333333333332,0.08604651162790687,-0.0720930232558139,0.10952380952380938,0.07999999999999995,-33.97,148.95
AU_70043,0.03164556962025317,0.14142135642135642,-0.01435935198821799,-0.10588235294117644,-0.006842456608811696,-0.08176169590643281,-0.04848484848484848,-0.020333655705996146,-0.002857142857143101,-0.014285714285714235,0.15510204081632656,0.0814814814814814,-34.78,149.27
AU_70220,-0.013661462300076165,0.11741658240647118,-0.04922680412371136,-0.12078252032520326,0.008988764044943788,-0.1487797619047619,-0.04327323162274621,0.02857142857142857,0.043478260869565216,-0.014694122351059581,0.17916666666666664,0.0,-34.44,148.72
AU_73023,-0.09191368788142984,0.034400614754098335,0.0,-0.10190476190476193,-0.029027777777777798,-0.2695652173913043,-0.1757566823899371,-0.03398058252427184,-0.0885714285714286,-0.10638297872340426,0.028708791208791266,-0.07407407407407407,-34.61,148.79
AU_73100,-0.016515151515151556,0.09261552401087286,0.04603174603174601,-0.11804304304304301,0.039175257731958735,-0.13403745644599316,0.05647926634768742,0.04269662921348311,0.06666666666666674,0.05206098249576517,0.24098086124401913,0.12482876712328768,-33.91,148.44
AU_61007,0.25989130434782604,0.09880952380952378,0.020991432068543446,-0.11219512195121953,0.13500000000000004,0.06097560975609756,0.016483516483516484,-0.0571428571428572,0.05348837209302327,0.03773584905660377,0.20998023715415015,0.2110272459499264,-32.03,150.58
AU_61016,0.16666666666666666,0.37727272727272715,0.14400000000000004,-0.045454545454545456,0.09599999999999995,0.049999999999999996,0.003508771929824549,-0.02631578947368421,0.09672131147540984,0.14285714285714285,0.2,0.18727272727272734,-32.39,150.69
AU_61026,0.09320276497695847,0.1827380952380952,0.04666666666666662,-0.10311290322580637,0.0333333333333334,0.06418073485600798,-0.02682926829268296,-0.05051020408163272,0.14354838709677428,0.09230958230958233,0.15662245800176836,0.08668214436471088,-32.01,151.0
AU_61051,0.25129411764705856,0.19324200913242034,-0.02561475409836062,-0.19013539651837524,0.1084126984126983,-0.01311274509803911,-0.011932203389830517,0.02082917082917078,0.16472409909909907,0.14764550264550264,0.28980331262939973,0.17986654394845836,-31.77,150.84
AU_61065,0.026470588235294076,0.10779220779220776,0.1,-0.22352941176470573,0.171875,0.09999999999999948,0.027118644067796634,0.0,0.04047619047619054,-0.05750000000000029,0.41153846153846135,0.2595238095238095,-32.14,150.73
AU_61073,0.1679245283018869,0.15454545454545457,0.05393258426966297,-0.09370882740447961,0.12773626373626373,0.08284272497897394,-0.03548387096774193,-0.07142857142857142,0.034939759036144644,0.1474547023295944,0.1660839160839161,0.1638554216867469,-32.08,150.37
AU_61097,0.08377222982216137,0.2784313725490196,-0.043749999999999956,-0.10000000000000006,0.0733909214092141,0.05399333121625912,-0.02857142857142847,-0.05510204081632652,0.08458333333333333,0.07669444444444445,0.25228981544771023,0.09310344827586167,-31.92,151.24
AU_61100,0.2340425531914894,0.40888888888888886,0.12765957446808496,-0.046296296296296294,0.14285714285714285,0.08836538461538461,-0.0736231884057971,0.0,0.06832826747720364,0.12666666666666665,0.2333333333333333,0.1605263157894737,-32.77,151.09
AU_62032,0.2840909090909091,0.1957446808510638,-0.008452380952380923,-0.03673469387755104,0.08378378378378377,0.010638297872340425,0.07894736842105263,-0.05789473684210528,0.14810659186535757,0.09032258064516129,0.23372093023255816,0.21739495798319325,-32.36,149.95
AU_62036,0.23500000000000015,0.06067603748326639,0.1684962406015038,-0.061204013377926456,0.08979591836734695,-0.05628947368421048,0.0703296703296704,-0.03763440860215054,0.11884057971014497,0.27222222222222225,0.2817233154442457,0.047058823529411806,-32.28,149.74
AU_82001,0.16026315789473683,0.10586049170954831,-0.051398601398601404,0.04226475279106859,0.03862252663622523,-0.20367250673854426,0.1705510388437217,0.19787640449438204,0.06961538461538444,-0.017607313195548806,0.35369369369369363,0.043167701863353836,-36.37,146.71
AU_82009,0.15555555555555545,0.0696969696969696,0.0011363636363636526,-0.04782608695652174,-0.12093023255813944,-0.27333333333333326,-0.007142857142857143,-0.08913043478260887,-0.04204545454545458,-0.1576923076923077,0.16538461538461527,0.09090909090909091,-36.61,146.54
AU_82015,0.14907179907179907,0.09403170472021767,-0.0009615384615384753,0.04287992495309569,0.05550495445901313,-0.18512990602542834,0.14696691176470583,0.17554347826086958,0.08360215053763431,-0.010194805194805248,0.2795348837209303,0.10517395182872435,-36.31,146.52
AU_82029,0.09583333333333331,0.04442312962455468,-0.027835051546391744,0.040720022948938624,-0.052941176470588255,-0.24504870129870107,0.022916666666666696,0.03985294117647051,0.06987951807228912,-0.13000000000000042,0.2448275862068966,-0.0142857142857143,-36.46,146.43
AU_82032,0.14310344827586208,0.06666666666666672,0.07037037037037032,0.04090909090909092,0.026966292134831524,-0.3572601010101011,0.11375929682217721,0.24489795918367346,0.09411764705882354,-0.01263157894736845,0.19344262295081963,0.050268817204301056,-36.58,146.38
AU_83010,0.2500000000000001,0.07891030392883616,0.004043190416141259,-0.08696943972835333,0.12286706349206349,-0.07379862700228804,0.10648033126294004,0.008658536585365535,0.1224843524313913,-0.0968864468864469,0.24877049180327865,0.35645161290322586,-36.63,146.86
AU_83032,0.20833333333333334,0.05454545454545456,0.09565217391304352,-0.34761904761904755,0.10156249999999996,-0.17755102040816303,0.15635964912280736,-0.11482142857142885,0.2202941176470588,-0.6513157894736838,0.025925925925925505,0.16000000000000014,-36.85,146.32
AU_83073,0.1925490196078432,-0.06708333333333384,-0.1576036866359448,-0.14749999999999996,-0.21333992094861678,-0.5145454545454548,-0.13397435897435925,-0.23999999999999772,-0.15247029393370826,-0.41114551083591344,0.13962264150943407,-0.029999999999999714,-36.72,146.82
