,dates,Lake_City,Camden,Hillsboro,Phoenix_Area,Marshall,Subiaco,Hobart_Municipal_AP,Tucumcari_4_NE_,Death_Valley_National_Park,Hopewell,Neosho,Las_Animas,Blanding,Yosemite_National_Park_Area,Saluda,Clarksdale,Portales,Springerville,Ojai
38,1922-01-01,2.19,3.84,2.83,1.29,3.45,2.21,1.13,0.06,1.2,3.62,1.83,,1.92,,3.2,4.58,0.1,0.31,
39,1922-02-01,5.18,5.38,1.62,0.32,3.41,3.53,0.61,0.13,,4.79,2.01,,2.25,,6.92,5.19,0.05,0.02,
40,1922-03-01,2.85,10.19,5.3,0.99,5.52,4.64,3.64,1.37,,7.26,7.45,,1.57,,9.44,10.1,1.64,0.65,
41,1922-04-01,0.53,6.77,11.2,0.24,,4.88,4.61,2.64,,2.39,6.5,,0.35,,6.21,5.92,4.13,1.0,
42,1922-05-01,5.2,6.09,4.97,0.26,2.58,4.93,4.48,2.04,,2.16,4.19,,0.7,2.65,,4.83,3.26,0.2,
43,1922-06-01,5.97,3.17,1.05,0.0005,3.82,0.63,0.88,1.24,,6.13,3.52,,0.21,,,1.15,1.88,0.46,
44,1922-07-01,5.5,6.4,0.75,0.74,7.16,2.25,2.32,1.65,,6.96,6.75,,1.22,,,2.78,0.55,1.88,
45,1922-08-01,4.06,0.86,1.48,0.58,2.81,,0.07,0.67,0.4,6.86,1.31,0.7,1.52,,,0.39,0.58,3.09,0.0005
46,1922-09-01,4.55,2.98,1.1,0.13,1.54,,1.09,1.2,,0.55,2.52,0.0,0.15,,,3.54,0.1,0.77,
47,1922-10-01,4.42,0.74,2.33,0.0005,1.97,0.9,1.95,0.37,,4.36,1.47,0.0,0.1,1.51,,1.48,0.0,0.0005,
48,1922-11-01,0.04,2.47,1.69,1.04,0.32,5.17,2.02,1.36,0.0005,0.63,5.55,0.66,2.3,,,5.12,0.48,0.41,
49,1922-12-01,2.49,2.6,0.1,0.28,5.64,6.1,0.31,0.0,,2.85,1.96,0.0005,1.5,,,6.24,0.0,0.08,
50,1923-01-01,4.32,5.2,2.24,0.28,4.03,3.01,0.35,,0.0,3.61,3.3,0.0005,0.88,,,5.0,0.23,0.38,
51,1923-02-01,1.97,4.56,3.56,0.46,1.64,5.5,0.55,0.96,,3.06,1.19,0.45,0.79,,,5.16,1.41,1.2,
52,1923-03-01,2.84,4.38,1.75,1.08,3.77,4.62,3.03,1.04,,6.44,2.99,0.27,0.8,,6.45,7.09,1.08,0.93,
53,1923-04-01,1.85,7.3,6.85,0.05,2.82,4.49,4.33,3.35,,3.61,4.37,0.89,0.73,,,8.83,1.63,0.39,
54,1923-05-01,6.58,4.07,0.95,0.08,4.5,7.36,4.09,1.92,0.0,1.59,8.49,,0.7,0.87,,10.03,,0.45,0.0
55,1923-06-01,9.11,2.41,1.85,0.0,1.99,4.55,5.84,3.55,0.0,0.77,8.2,2.77,0.08,1.44,,5.38,,0.05,0.0
56,1923-07-01,3.76,3.33,0.1,0.77,2.56,2.46,0.31,0.63,0.0,5.89,3.46,1.42,2.11,,2.41,3.79,,3.76,0.0
57,1923-08-01,5.9,3.37,0.09,0.65,0.84,1.36,2.25,5.64,,5.98,0.24,4.86,3.25,,,3.69,,5.67,0.0
58,1923-09-01,3.2,3.75,3.62,0.97,1.0,5.76,6.2,1.78,,5.72,4.36,1.36,,,1.81,0.88,,3.07,
59,1923-10-01,1.14,2.37,4.55,0.22,0.4,2.97,12.94,7.51,,1.17,7.77,3.73,0.85,,1.4,4.82,,0.73,
60,1923-11-01,0.4,,1.95,2.84,1.54,3.48,1.15,,,1.92,4.33,0.37,1.93,,3.21,3.42,,2.1,
61,1923-12-01,1.58,8.49,8.48,2.23,2.62,,0.84,1.64,0.0,1.47,3.52,,2.11,,4.55,7.63,,1.87,0.23
62,1924-01-01,5.1,4.85,2.08,0.0,3.34,1.8,0.05,0.0005,0.0,2.78,1.83,0.04,0.9,2.39,,5.43,0.1,0.55,0.7
63,1924-02-01,3.21,3.81,1.67,0.0005,2.35,0.94,0.5,0.19,0.0,2.45,2.07,0.19,0.0,,3.25,3.4,0.16,0.47,0.06
64,1924-03-01,10.02,3.27,4.62,0.99,3.17,2.69,,0.6,0.15,3.12,2.31,1.26,1.35,2.74,3.56,5.23,1.03,0.75,
65,1924-04-01,3.02,5.68,1.95,0.22,3.88,5.51,2.68,0.63,0.2,3.59,4.22,1.25,0.25,1.24,7.8,5.67,0.43,0.27,0.97
66,1924-05-01,2.19,5.92,4.05,0.01,2.85,4.91,0.59,1.67,0.0,9.32,6.31,2.26,0.08,0.56,3.42,8.41,0.54,0.35,0.0
67,1924-06-01,7.33,2.84,0.85,0.0005,3.51,2.88,3.17,2.07,0.0,5.72,5.15,0.28,0.0005,,1.93,2.7,1.15,0.38,0.0005
68,1924-07-01,2.66,1.06,0.4,0.09,5.12,2.12,2.82,1.93,0.0,3.31,7.8,0.44,2.81,0.0,8.85,0.51,2.8,3.32,0.0
