dates,Lake_City,Camden,Hillsboro,Phoenix_Area,Marshall,Subiaco,Hobart_Municipal_AP,Tucumcari_4_NE_,Death_Valley_National_Park,Hopewell,Neosho,Las_Animas,Blanding,Yosemite_National_Park_Area,Saluda,Clarksdale,Portales,Springerville,Ojai
Latitude,30.2675,33.6139,32.0728,33.6194,35.8136,35.3233,35.0417,35.2281,36.5383,37.3364,36.8681,38.1406,37.6644,37.7169,34.0542,34.3017,34.2308,34.1331,34.4503
Longitude,-82.6306,-92.8531,-97.0931,-110.9208,-82.6864,-93.6356,-99.0894,-103.7394,-117.0936,-77.2842,-94.3681,-103.2272,-109.4794,-119.6653,-81.775,-90.5644,-103.3375,-109.1331,-119.2439
1919-02-01,0.75,3.39,2.16,0.75,1.55,,1.15,0.32,0.0,2.45,2.34,0.94,1.67,8.28,4.75,2.83,0.06,1.2,2.45
1919-04-01,0.17,3.73,4.2,0.17,2.69,,7.78,3.61,0.0,4.46,2.1,5.08,0.25,,2.21,2.68,1.84,0.3,0.4
1919-06-01,0.0005,5.77,3.91,0.0005,8.56,5.52,5.17,6.39,0.0,2.32,8.85,3.57,0.0005,,8.88,3.61,3.74,0.01,
1919-08-01,2.4,6.24,7.88,2.4,1.15,1.93,0.69,2.53,0.0,4.77,1.87,1.42,1.44,0.0005,6.58,4.67,0.85,3.6,
1919-10-01,0.25,,6.93,0.25,2.95,8.93,7.94,2.31,0.0,2.42,11.39,0.94,1.77,,3.52,10.02,5.23,0.2,
1919-12-01,0.13,3.12,0.58,0.13,2.32,0.29,0.57,0.93,0.3,1.9,0.47,0.2,0.25,5.25,6.67,2.84,0.06,0.62,
1920-02-01,7.68,2.03,0.58,1.46,,0.86,0.86,0.15,,7.47,0.29,0.05,2.96,,4.35,2.03,0.44,0.6,3.5
1920-04-01,7.26,7.31,0.6,0.0,5.44,4.33,1.99,0.2,0.0,2.22,2.28,2.47,0.05,4.52,4.81,10.37,0.08,,
1920-06-01,4.6,2.57,4.57,0.0005,3.13,2.64,1.93,3.91,,7.49,3.32,0.61,0.76,,5.42,2.89,2.25,0.75,
